scene,start,end,score,query,script
15,1200.0,1201.3,80.55555555555556,In the back past the kitchen.,In the back past the kitchen.   Make it fast.
31,2191.2,2192.6,75.36231884057972,What the fuck you looking at me for?,The fuck y'all lookin' at me for?
38,2541.2,2543.7,79.51807228915662,I told you not to do anything break great here.,I told you not to do anything brave.
38,2662.1,2672.1,71.21951219512195,It's not real. It's have you looked outside Bob. I mean those people aren't exactly our regular customers.,"C'mon, Bob. Have you looked outside recently? Those aren't exactly our regular customers out there."
38,2685.6,2689.9,76.92307692307692,why me because your child is the only hope Humanity has a surviving.,Because your child is the only hope humanity has of surviving.
38,2763.2,2764.9,88.57142857142857,Something much worse is on the way.,Something much worse is on its way.
39,2789.0,2791.6,68.85245901639344,I'm in trouble. So what's with a gun?,So what's with that gun?
40,2968.6,2971.5,70.27027027027026,On the house. Thank you.,On the house.
40,3036.5,3040.5,92.5,Molly what changed? What made you leave?,"Well, what changed?   What made you leave?"
52,3868.4,3875.7,74.57627118644068,"You know, you're not the only one who's had a heart around here. Okay, so you let me know when you stop feeling sorry for yourself.","You know, you're not the only who's suffered, okay? Let me know when you stop feeling sorry for yourself."
55,4000.3,4001.4,69.38775510204081,You better give a damn.,You better get downstairs.
55,4028.3,4031.8,73.6842105263158,Wait a minute. Are they?,Wait a minute.
75,5120.2,5126.5,89.40092165898618,"Okay, we need to figure out our web situation. Hopefully Michael didn't take everything out of car look around.","Okay, we need to figure out our weapon situation.   Hopefully Michael didn't take everything out of the car."
