transcript,confidence,start,end
"Okay. So basically we're down to three choices for the last slot. We saw us here to see you and I'm glad that you're going to meet with our because when it comes to this girl, the intangibles are everything. She's been the heartbeat of this program for 12 years. She went to the Olympics and two World Championships with practices what we hours every day. Yeah. She makes everyone better Coach. I have the benefit of being Nuit",0.829393208026886,117.9,143.4
" Lisa is 31. She's point three seconds slower moving towards first, and I'm tired of having to justify myself because all of you were hung up on her as a role model. It's over. What's that? It's your call. Hooray. Thank you. Thank you. At least let her know today. She's gonna have to redirect your whole life. Everyone finds out when I posted online no exceptions just because we filled women athletes doesn't mean we have to get girly when someone's time is up.",0.8680037260055542,144.3,173.3
" Crap, I beg your pardon.",0.9066262245178223,174.0,176.4
 I'm sorry.,0.901242196559906,178.0,178.7
" Oh my Lord, what is to become of me? I've lost my ability to smile at bastards.",0.8610876798629761,180.3,184.5
 Still got it.,0.9128386378288269,189.4,190.2
" Listen, I can't see you right now. Okay, just tell me what to do.",0.8658733367919922,193.7,195.6
Yeah.,0.6728392839431763,225.2,225.7
 What are we worth it?,0.9005239605903625,226.9,228.0
" Hello. Hi, this is George Madison. I think you might know that Reva gave me your phone number. No, she thought it might be a good idea if we had dinner together. Well, I'll have to call her when you have a mind. No, I wasn't calling to set of time. She didn't know that I was seeing someone well as she didn't know that it had escalated at least on my part.",0.8657881617546082,232.0,258.8
 Just add it up on me suddenly and now you're calling me to break up just know I just didn't think George Madison. I'm sorry. I got distracted. What was I say you her saying you just didn't think right right. Thank you. Thank you. Thank you for holding. I just didn't think that it was right not to phone you once I took your number in case you had talked.,0.7928114533424377,260.9,290.6
" And we're expecting my call. Okay, well, it was nice of you to call it away, I guess right.",0.9119598269462585,290.7,297.2
 Sorry for interrupting your day. Yeah.,0.9128385186195374,299.3,301.9
 I am going to kill Reba. Let's go. All right.,0.862701416015625,303.0,307.5
 Oh my God.,0.9128386378288269,319.1,319.9
" You gave my number to a guy yeah, I hardly know him, but he went to business school with my brother. How can you give my number? Anyway, you don't remember Wednesday night.",0.9128383994102478,322.3,333.3
" You said you had never dated a non-athlete. I should date a non-athlete, right Riva. That's what don't listen to me. When I'm drinking Guinness. The only time you really saved up. I hope that's not true. This exercise is for next time. Okay. Thank you.",0.835077702999115,334.5,353.2
" George oh didn't I tell you I was crashing on my book tonight. Yeah, you did. I just I'm not going to stay maybe that's better for tonight. Look if you're concerned about us now that we've intensified. We're okay. I am busy, so I can't demonstrate you that we're okay and all the little ways, you know, like any attention to you. But if you could just take my word for it until the work lights up, that would really help me.",0.9128387570381165,357.7,386.5
 and us,0.9128385782241821,387.9,388.5
 I think I like that one better.,0.8284860253334045,390.8,392.2
 today I,0.805618405342102,397.1,397.8
 It was nice just to see your face for a minute sells me now.,0.7778841853141785,401.2,403.9
It is so great. You look so good. Just needed to grab you. We're here evening. Mr. Are you doing I might have to go back on what I said about finally seeing your place.,0.732978880405426,434.5,447.2
" It's a lot on my mind right now and I say sure. Well. No, there's no pressure to feel right. That's nice.",0.7008991837501526,448.3,459.2
Are you moving away? I want to give you room to think and decide.,0.7908710837364197,462.5,466.9
 You have all the signs the handful I hope so you better hang on to that energy.,0.8948886394500732,484.0,490.3
Wait till you try this blender wake you.,0.8763492107391357,505.9,508.6
 Worth it.,0.9128385782241821,509.7,510.3
" Female jocks are amazing. Thanks, but maybe could you personalize it a little knot right? Right, right. That's what I'm saying to you Lisa. It's like come on. I was I was unbelievable.",0.8120995759963989,522.3,537.1
 Are you fishing for a compliment or fishing for a celebration? Come on?,0.8658228516578674,539.7,544.3
 It was good. Yay.,0.9128385782241821,545.7,549.0
 It's good. It's great. It's great. There you go. Yeah.,0.9128385782241821,561.3,565.0
" I have to get going Choice the bathroom is right over there, but I am going to drink the rest of this because it was really sweet of you to make it. It's great.",0.69577956199646,568.5,580.7
"Do you know how many female athlete? Yeah, I do. Let me gotta count cheerleaders. But yeah.",0.7843568325042725,582.9,587.9
 Toothbrushes are in that drawer on the right there.,0.9128385186195374,594.4,596.8
 You don't have to wear that dress home. Come here. What size small or extra small? What is that?,0.9128386974334717,609.9,620.3
that,0.8875522017478943,623.5,624.0
" behind you that is repulsive the stack. Oh, no, no. No, it's me being classy. It's me being a good host. Now. Now I feel like I'm on an assembly line is spitting out just - that's like, although if you think about it, I never did tell you just said that we all are on kind of an assembly line just you know going through each other's lives and until one day you close the",0.9128384590148926,625.4,655.1
" Factory down and you take one product home and use it monogamously for the rest of your life my mistake Maddie, forget it little mistake. I'm just saying that okay, but by just giving you one and hit the rest then I'd be a great guy, but because I was open with you.",0.9128382802009583,655.2,671.5
What am I doing? I caught myself don't judge anybody else until you check yourself out that we are lucky that your fall because you can correct the situation.,0.8422355651855469,690.8,699.3
 I'm nervous or something that's going on with me and I ended up with an attractive guy who you have to be an idiot to mistake or anything more than just a fun friendship. And and yes amazing sex instead. I give that guy a hard time for just being who he is.,0.8187221884727478,702.6,719.5
"Totally my fault. I'm sorry, please forgive me.",0.9128385186195374,722.3,728.5
" Apologizing if you're really apologizing you may be my dream girl. I heard those footsteps. I'm like, okay, somebody nuts is coming back to be more nuts. And now an apology you may be my dream girl. Yeah.",0.9128383994102478,730.9,749.1
They said you'd be in here.,0.9128385186195374,795.1,796.2
 How bad is this?,0.9128385782241821,798.4,799.4
" The justice department is investigating whether the company committed Security fraud based on what why are they don't have to say they've subpoenaed almost everything relating to our business abroad you haven't mentioned this to your father have you because the worst thing is to say something before she told no. Yes, he's going to meet us my office right now.",0.8953166604042053,804.9,822.4
 Your concern is I don't have one.,0.9128385186195374,823.5,826.1
" Morning morning, Dad.",0.9128386378288269,834.6,836.0
 You need to company lawyer for whatever. This is what's going on?,0.7728638052940369,840.2,843.5
 Because to have today haven't read this yet. Yes. Once they are apparently investigating us for possible misstatement of receivables to inflate earnings stock fraud. What do you know about this nothing but I'm responsible. What are you being Noble? I'm telling you it all recent legislation says if it's true and I didn't know I should have can you ask your assistant to come in? We are going to have to respond immediately.,0.7581757307052612,849.8,875.6
Excuse me. Any could you please come on in and bring your laptop?,0.9128386378288269,879.6,882.9
 All these items mentioned you must have checked whether we had actual receipt of funds before we talked to the analyst know in most of them came from dad's office. So I assumed that with everybody working do not assume do not trust anyone not him. Not me cynicism is sanity good guidelines. I'm afraid I assumed that with everyone working creatively on the new line that I would wait until,0.7862826585769653,885.8,913.5
" The second dad now, let me finish please. No devil does not get to finish drivel gets interrupted. Is it possible for me to so shaping the corporate culture might not bring results on the income statement is clear. You are a fucking moron too rough much too rough. Don't use that language in front of Annie. Okay? Okay. I caught myself.",0.8811283111572266,915.7,938.0
 now we I get back to the,0.7511255145072937,939.2,940.5
 Sorry any the fucking sorry again any point?,0.831882894039154,942.3,950.9
" I've overlooked every limitation. I know you why because you are my son. You're a good guy as every prank with half a brain whoever took advantage of you knows absolutely but Ginge there is a bottom line here, which is because of your Notions of trust and creativity. We may be inevitably forced to crawl on by some assistant us attorney.",0.8363572359085083,952.9,980.9
" And if this almost made the law review creature pins be between a choice of saving you or the company that I founded and you preside over. I may be forced to choose the company even though it's doing so may break my life forever, which is finally my fault for handing you a job where you're pathetic assumptions our Notions of trust can cause such Calamity any oh my God.",0.8716945052146912,981.9,1007.2
 Excuse me. Oh my God.,0.9128385782241821,1008.9,1014.6
 Charles Eddie just what? Do you have an ETA down everything you need? Okay.,0.788756251335144,1018.3,1023.8
 Okay. All right.,0.7871296405792236,1026.4,1029.0
 You should go home now. Think about interviewing attorneys.,0.9048812389373779,1030.9,1033.7
 I don't know what the circumstances will allow the company to pay the company will pay.,0.8154418468475342,1034.8,1039.1
 The justice department. The individuals name is on here. All documents relating to loan applications all financial statements including but not limited to General Ledger's and income statements.,0.7377996444702148,1042.9,1055.0
 The term document includes but is not limited to all personal files telephone messages and long.,0.8992779850959778,1065.1,1072.1
Just a minute.,0.9128386378288269,1075.7,1076.4
" Hello, George. I have been through things like this and I'd like to give you some difficult advice if you would like to hear it, okay?",0.9128385186195374,1087.3,1098.5
 Except the enormity give up illusions of containment the hardest fact of all is that no matter what the outcome it is unlikely that you can ever again be the person you have been until now.,0.9091987609863281,1099.7,1113.6
" Okay, thanks. Look. Can I call you later? Any further contact between us being inappropriate?",0.8748359680175781,1117.0,1124.5
" Good luck, George.",0.9128386378288269,1125.5,1127.2
