scene,start,end,score,query,script
17,782.7,789.3,68.45637583892618,All those people tonight in the mosques there is to only his followers.,"Those people tonight in the masks they're his too, aren't they? His followers."
27,1296.0,1309.1,85.22167487684729,"After due consideration, the ministry has concluded that for their own safety new student under the age of 17 should be allowed to put forth their name for the Triwizard Tournament this decision.","After due consideration, the Ministry has concluded that, for their own safety, no student under the age of seventeen will be allowed to put forth their name for the Triwizard Tournament. This decision is final."
29,1422.2,1451.5,70.79889807162533,"Freesat, and they are so named because they are unforgivable the use of any one of them will earn you a one-way ticket to as a bomb. Correct. The minister says you're too young to see what these curses dude. I say different you need to know what they're up against you need to be prepared need to find another place to put your chewing gum besides the underside of your desk. Mr. Finnegan the oh God. I'm here across classrooms.","will earn you a one-way ticket to Azkaban, correct. Now, the Ministry says you're too young to see what these curses do. say different. You need to know what you're up against. You need to be prepared. You need to find another place to put your gum besides the underside of your desk, Mr. Finnegan."
29,1631.7,1634.7,71.11111111111111,Perhaps you could give us the last unforgivable curse Miss Granger.,"Perhaps you could give us the last Unforgivable Curse, Miss Granger."
37,2279.5,2280.5,88.23529411764706,How did you do it?,How'd you do it?
37,2305.7,2310.5,87.01298701298701,I didn't put my name in that cup. I don't want eternal glory. I just want to be,didn't put my name in the Cup! don't want eternal glory! just want to be...
37,2313.6,2317.3,76.59574468085107,"Look, I don't know. What happened tonight. I don't know why.",Look. don't know what happened tonight. And don't know why. It just... did. Okay?
39,2484.5,2488.7,91.52542372881356,"Hey, my eyes aren't glistening with the ghosts of my past.",Hey! My eyes aren't glistening with the ghosts of my past...
44,2770.3,2781.7,75.10204081632654,10 would like me to tell you that shames told him that Dean was told by Parvati that hackers looking for you that right. Well what?,Ronald would like me to tell you that Seamus told him that Dean was told by Parvati that Hagrid's looking for you.
46,2983.3,2987.2,87.3015873015873,"Dragons, that's the first task. They've got one for each of us.",Dragons. That's the first task. They've got one for each of us.
46,3000.0,3003.6,70.96774193548387,Hey listen about the badges I've asked them not to wear them tomorrow.,"Right. By the way, about those badges, I've asked them not-to wear them, but, well..."
47,3172.0,3175.1,86.95652173913044,Wouldn't even bother telling you what's in there. You wouldn't believe it if I did.,won't even bother telling you what's in there. You wouldn't believe me if did.
51,3295.0,3299.3,69.91869918699187,The kids concentrate after that you just have to battle a dragon.,"The key is to concentrate. After that, you just have to..."
