transcript,confidence,start,end
let me,0.7552610039710999,106.7,107.3
" If we were to do it without the ball, no, the boy is everything cannot be done without it and it will be done exactly as I said, I will not disappoint you my lord gold fast gather. Our own comrades send a son.",0.7668962478637695,174.1,194.3
 Akemi tells me the old chuckle caretaker is standing just outside the door step aside until so I can give our guest a proper greeting hurry you all right? I'm a honey badger.,0.7876319289207458,206.9,235.7
" When did you get here smell you last night? Wake up. Wake up funnels hell honestly get dressed and don't go back to sleep. Come on, Ron. Your mother's has breakfast ready.",0.8100863099098206,236.8,252.8
 Ron where are we actually going don't I Dad? Where are we going the foggiest keep up?,0.7661872506141663,259.7,267.0
 Awesome. It's about time son. Sorry. I must some of us had a bit of a sleepy start. This is a must agree everyone. Let's we've made at the ministry this strapping young lad must be Cedric. Am I right this way?,0.7243889570236206,270.7,289.6
" Merlin's beard. You must be Harry Potter. Yes, sir. Great great pleasure pleasure to meet you too, sir. Hmm.",0.9128386974334717,292.5,300.6
 It's just over there.,0.7660308480262756,303.5,305.0
" Their way. Oh, yeah, we don't want to be late get yourself into a good position while they are standing around that monkey on food. That isn't just any man Gilbert mate. It's a portkey time to go.",0.8384828567504883,308.2,322.5
 What's a portkey ready after 312 Perry free?,0.740995466709137,323.4,330.7
 I'll bet that clearly son. Is this a total shambles as per unit?,0.8379732966423035,357.7,363.2
Putty of the ways. I think I'll Champion. See you at the match home. Sweet home.,0.7760175466537476,396.5,408.9
" She's about can unpack Ron get out of the kitchen. We're all hungry. Yeah, get out of the kitchen. Robbie's off the table A Tout their table.",0.8774380683898926,424.9,433.8
 We'll put it this way. If it rains you'll be the first to know father and I are in The Minister's box my personal invitation.,0.8801225423812866,460.5,470.9
 Shania of Cornelius fudge himself don't Chris Traeger. There's no need with these people do enjoy yourself quencher while you can.,0.7980972528457642,471.0,483.9
 Take his knees. I told him he seemed to be worth waiting for.,0.7159825563430786,499.4,502.4
 The Vogue area and this is the best singer in the world.,0.7631919980049133,524.5,537.9
 Minister for magic it gives me great pleasure.,0.6937590837478638,562.9,567.6
 To welcome each and every one of you to the final of the four hundred and twenty second could it's World Cup.,0.8693139553070068,569.0,577.8
 Let the match begin. There's no one like from dumb clucks like a bad the way rides the wind is more than an athlete.,0.9128385186195374,579.4,607.1
 Artist think your love wrong way is like the Irish got their pride on stop it. Stop it. It's not the Irish.,0.7045015096664429,609.3,625.5
 We've got to get out of here now get back to the Pokey everybody stick together. Timmy is your responsibility.,0.8450970649719238,627.5,640.2
mama,0.6670219898223877,712.7,713.5
 I've been looking for you for ages.,0.7354902029037476,748.5,750.2
