text,scene
"Do you believe in miracles? I'm not talking about watching your kid being born...or the Red Sox winning the World Series...I'm talking about a real honest to God, kick-in- the-ass miracle.",0
Like walking on water...or jumping out a window and landing on a cloud...Maybe you don't because you've been around and you've seen too much. I was like that once.,0
Look at these guys...they're not happy unless they're rushing off to knock down some three alarm somewhere. Not me...Maybe in younger days but not no more. Knowing where my loved ones are...knowing they're safe...that's what keeps my heart pumping.,0
Yacht club cannon. It's the rich guys' tellin' the sun it's okay to set.,0
"This here is Marblehead, Massachusetts. A lot of ""Headers"" have been here for generations...Lived out their whole lives here without even thinking about it...",0
They got born right there... At Mary Alley Hospital...,0
They were raised on blueberry pancakes and fried dough at the Driftwood...,1
...And Joe Frogger cookies at the Rusty Rudder.,2
They went to the movies at the Warwick...,3
...And had one too many drinks at Maddie's.,4
They got married at the Old North Church...,5
"And in the end, when they crossed over...they were buried here, in Waterside...",5
"Yeah, I'd been around and seen too much too. Then something happened. It happened on the job one night about thirteen years ago...What happened was a miracle...",5
And it happened to him... Charlie St. Cloud...Charlie may not have been the best or the brightest kid who ever graduated from Marblehead High...but like anybody would tell you...he sure was the most promising...,6
"Senior Class President, captain of the baseball team, the debating team, the sailing team...Charlie even landed himself a free ride at a college his mom couldn't afford in a million years...",6
"Louise thought Charlie hung the moon. He was her reward for all the things that had gone wrong in her life. Namely, Charlie's father, whoever he was.",6
"That's Sam, Charlie's kid brother...",6
"....And actually, this miracle that happened...it also happened to him...",6
Did you see the look on Mikey Marooney's face when they handed him his diploma?,7
"I know, he was like dumbfounded.",7
He couldn't believe that he actually graduated.,7
I can't believe that you actually graduated...,7
Is that right..?,7
I didn't mean it like that...I just meant...,7
"Hey, Dartmouth isn't that far away. Besides ...I'11 probably crap out and be home in a month.",7
You'll get straight A's without even trying.,7
"Anyway, we've got the whole summer. I vote we make it the most kick-ass 'summer of our young lives'.",7
"Yeah, baby!",7
SCHOOL'S OUT FOR SUMMER!,7
SCHOOL'S OUT FOREVER!,7
"Hey, losers...If it don't sink, we're gonna kick your butts...",8
"Bullshit, Connors. You're the one who's going down...",8
Bring a bucket!,8
Nice boat...Can we beat them?,8
Ready to come about?,9
Ready!,9
Helms to Lee!,9
Here comes Connors...,9
Take the tiller!,9
Yaaaaahoooo!,9
"Here's where we win it, Sam... You know what to do?",9
Ready.,9
"Okay, Sam, do it!",9
"We're hauling ass. Whoo-hooooo! Oh, Con-nors...Toodles!",9
"Here you go, Charlie.",9
You're doin' great. Take her across the line.,9
"Hey, I just won five bucks! I bet Connors five bucks that we'd-",9
You don't have five bucks.,9
I do now.,9
Whoa.,9
No shit.,9
That's it. That's our boat.,9
It is?,9
Yeah...the one you and I are gonna sail around the world.,9
You know how much a boat like that costs?,9
"We're not gonna buy it, Einstein. We're gonna build it. You and me.",9
"We can do it, Charlie. It'll be awesome, beyond awesome...I say we get started tonight. We can-",9
Uh-uh...no good. Not tonight.,9
Why not?,9
"What is it, Charlie?",9
Pirates.,9
We can't start on the boat tonight because of Pirates?,9
The Pittsburgh Pirates. They're playing the Sox tonight and we've got tickets ... and Connors just bought us a hot dog.,9
Coach had a couple to spare. Are you gonna sit there all day or help me get this thing on the beach?,9
"It's okay, don't sweat it...Yep. Bye, Mom. She's stuck at work...",10
Maybe we can ride our bikes over. We can-,10
"We'd get there at midnight, dope!",10
It isn't fair...We're screwed...,10
Not necessarily...,10
Mrs. Pung's in Montana visiting her daughter till Tuesday.,11
We don't have the key...,11
She keeps one in the ashtray. I drive her to the market sometimes...,11
I don't know...,11
We're just borrowing it.,11
"If you borrow something and don't tell anybody, it's-",11
"It's stealing...Yeah, okay...I know...you're right...",11
Shit...,11
What's wrong with it?,11
Mrs. Pung puts 20 miles a month on this thing...The gas in this car is older than you...,11
He's gonna hit one out. Charlie...I can feel it...,12
He's going down on strikes...Pitcher owns him...,12
"It's yours, Sam.",12
Mine!,12
I can't believe he actually signed it!,13
"The Sox are going all the way this year, Charlie. I'm not wrong about this.",13
All-time Red Sox greats...,13
Teddy Ballgame.,13
Yaz.,13
Wade Boggs.,13
Bill Buckner.,13
What!!!,13
So he blew the World Series... It's not like he killed somebody...,13
"Okay, well, he can be on your all- time greats team...",13
Wow...look at that moon...,13
It's closer tonight.,13
It just seems that way sometimes...,13
"No, it really is. And look...there's a halo around it...like an angel's.",13
That's a refraction of the ice crystals in the upper atmosphere.,13
"Gee, Mr. Dartmouth... I thought it was a refraction of the ice crystals on your butt.",13
Not again...,13
Relax...,13
Charlie..!,13
Mom's gonna kill us.,15
"I'm the one who stole the car, remember? This is all on me .",15
"Man, I hurt all over.",15
I remember now...that truck...it came out of nowhere...,15
"Can we go home now, Charlie? I just want to...",15
What's that?,15
They're looking for us.,15
Who?,15
I don't know...,15
Hey Charlie ...,15
"Don't worry, I'm here...",15
"Don't leave me, ok? Just, whatever you do, don't leave me...!",15
I won't...,15
Don't leave...!,15
I won't...!,15
Thank you Lord...,16
He's back. He's stabilized. You did it.,16
Welcome back.,16
Where? Where was I? Where's Sam?,16
It's gonna be OK...,16
My brother! Where's my brother?,16
"Take it easy, Charlie...you're gonna be okay, now...",16
Sam...!,16
"Son, you gotta lie still...!",16
Sam!,16
You have to be still...!,16
"Sam, Sam...",16
"I can't leave him, I can't...",16
Sam...,16
"Lord, we commend this body to you...",17
Charlie...,17
Why did you leave me?,18
"Hey, Charlie...",18
Sam..?,18
Boo!,18
You are so lame...,18
You're really here...,18
"I missed you, Sam...I... And look at you...you're all better...",18
"Yeah, being dead's done wonders for me. ..",18
Then...you are...,18
"Yeah, Charlie...",18
Charlie!,18
You're not gonna believe it. Mom...it's...it's a miracle!,18
"Let's go back now, sweetheart... Everybody's waiting for you.",18
But-,18
"Please, Charlie.",18
"It's okay, mom. I'm...okay now...I just want to be by myself for a while.",18
Don't be too long...,18
"What's gonna happen to me, Charlie? We're never gonna sail around the world together... or see another Red Sox game...",18
Sam...,18
I don't even know where I'm supposed to go...,18
Then stay right here.,18
Here..?,18
We'll meet up every day.,18
Yeah..?,18
You hear that? I'll meet you right here. Everyday at sunset.,18
Everyday? You promise?,18
"I won't leave you alone, Sam. I promise...",18
Mrs. Phipps...?,19
"It's me. Charlie St. Cloud. Tenth grade English, remember?",19
"Shame on you, Mr. St. Cloud...It is I.",19
"Oh, right... Me stand corrected.",19
I just wanted to offer my sympathies.,19
It was just so sudden. So unexpected. I never even had time to say goodbye.,19
I'm sorry...,19
"I suppose there's never enough time, is there?",19
What's going to happen to me now? What will I do?,19
"It's going to be all right. Trust me, I know...",19
Walter...my sweet Walter...1 wonder if he..?,19
"Sure, he's waiting. Good thing you're wearing that pretty blue dress.",19
"I guess there's really no point in lingering, is there?",19
"Know how a man in the desert, who's gone without food and water...how he starts imagining shit..?",19
"Well, you've gone too long without booty, bro. That's why you're talking to yourself...",19
"How about running into town for me, picking up those sprinkler heads.",19
