scene,start,end,score,query,script
12,260.0,263.5,68.81720430107528,Start a conversation. You purposely spilled beer on me. Yes.,You spilled beer on me purposely?
16,318.8,325.6,79.5539033457249,"You know, my dad yelled at for helping girls actually leave a frat party. It's kind of like the opposite of everything we stand for.","You know, I'm going to be pulling kitchen duty all week for helping girls leave a frat party. It's like opposite everything we stand for."
22,437.1,439.0,71.11111111111111,"Mmm, you met me last night.",We met last night.
24,499.4,501.8,77.06422018348624,"Yeah, but you didn't remember. That's the problem.","But you didn't come out here, remember. That's the problem."
24,535.9,539.7,69.50354609929079,But you're in college now A girl's gotta move on.,"It's hard to let go. Believe me, I know. But, you're in college now. A girl's gotta move on."
25,544.0,546.8,80.0,Why I am so jealous. Oh.,I am so jealous.
31,669.4,676.5,74.57627118644068,Professor Roberts is I'm really sorry to bother you. It's just I absolutely must take this class is full.,"I'm sorry to bother you, it's just... I absolutely must take this class."
41,924.1,926.1,75.22935779816513,They're a little wilder than the older stuff.,These are the modern pieces. A little wilder than the old stuff.
41,939.6,941.2,73.7864077669903,"Come on, I want to show you something.","Even I don't get that one. Come on, I want to show you something."
42,950.1,952.8,73.6842105263158,I love how he captures her personality through her eyes.,I love how he captures her personality through her eyes. It's like she really wants to help you.
43,1017.0,1018.3,100.0,I always wanted a sister.,I always wanted a sister.
48,1155.7,1162.6,69.23076923076923,"I know. I know. I know. I know I probably book about 40 different dorm rules than I should just take it to a shelter, but I just can't.","I know, I know. It's stupid, and I've just broken about forty different dorm rules, and I should just take it to a shelter..."
48,1178.6,1185.6,70.17543859649122,Cuddles sweetie. Is that my necklace?,Is that my necklace?
48,1230.7,1232.7,96.2962962962963,In a good way or a bad way.,In a good way or a bad way?
50,1267.5,1271.0,82.89473684210526,Just because I kissed you doesn't mean I'll let you cut in line then. What does it mean?,Just because I kissed you doesn't mean I'll let you cut in line.
51,1324.9,1330.3,83.72093023255813,"What I meant to say is I'm sorry. I totally screwed up. Forgive me, please.",What I meant to say is   I'm sorry   I totally screwed up.
52,1353.5,1358.6,84.26395939086294,Richard Prince is having a showing tonight. I bought two tickets since he's your favorite artist.,Thanks. Richard Prince is having a showing. I bought two tickets. Since he's your favorite artist...
52,1401.9,1404.1,75.78947368421053,I am jumping in the shower and then we'll go.,"I'm gonna jump in the shower, then we'll head out."
60,1588.3,1593.4,79.3103448275862,Contrary to popular opinion beauty is not in the eye of the beholder.,"Contrary to popular opinion, beauty is not in the eye of the beholder. It's in the hands of the designer."
