scene,start,end,score,query,script
16,299.3,301.9,82.6086956521739,Sorry for interrupting your day. Yeah.,Right. Sorry for interrupting your day. Yeah. Goodbye.
18,357.7,386.5,73.49726775956285,"George oh didn't I tell you I was crashing on my book tonight. Yeah, you did. I just I'm not going to stay maybe that's better for tonight. Look if you're concerned about us now that we've intensified. We're okay. I am busy, so I can't demonstrate you that we're okay and all the little ways, you know, like any attention to you. But if you could just take my word for it until the work lights up, that would really help me.",If you're concerned about us now that we've intensified..we're okay. am busy so can't demonstrate to you that we're okay in all the little ways like paying attention to you..but if you could just take my word for it until the work lets up that would really help me... and us. think like that word better. Us.
22,879.6,882.9,85.07462686567165,Excuse me. Any could you please come on in and bring your laptop?,"Excuse me, Annie...could you please come on in and bring your laptop?"
22,952.9,980.9,82.77945619335347,"I've overlooked every limitation. I know you why because you are my son. You're a good guy as every prank with half a brain whoever took advantage of you knows absolutely but Ginge there is a bottom line here, which is because of your Notions of trust and creativity. We may be inevitably forced to crawl on by some assistant us attorney.","I've overlooked every limitation know you to have because you are my son. And you're a good guy, as every prick with half a brain who ever took advantage of you knows absolutely. But there is a bottom line which, because of your notions of trust and... ""creativity,"" we may inevitably be forced to crawl on by some assistant"
22,1042.9,1055.0,68.6695278969957,The justice department. The individuals name is on here. All documents relating to loan applications all financial statements including but not limited to General Ledger's and income statements.,"To the Justice Department..the individual's name is on here....All documents relating to loan applications..All financial statements, including but not limited to general ledgers, journals, balance sheets and income statements of George Madison, Chief Executive Officer..."
23,1087.3,1098.5,80.16528925619835,"Hello, George. I have been through things like this and I'd like to give you some difficult advice if you would like to hear it, okay?",I've been through things like this and I'd like to give you some difficult advice..if you'd like to hear it.
23,1099.7,1113.6,79.38461538461539,Except the enormity give up illusions of containment the hardest fact of all is that no matter what the outcome it is unlikely that you can ever again be the person you have been until now.,"The hardest fact of all is that, no matter what the outcome, it is unlikely that you can ever again be the person you've been until now."
26,1181.8,1184.9,96.15384615384616,This is for us. I swear it.,This is for us. swear it.
26,1188.8,1200.8,78.98832684824903,We are not well matched for this interval in your life. Not with me against this deadline and and you being investigated now. I don't want our relationship to become cannon fodder for this Apparition in your working life.,We are not well matched for this interval in your life. Not with me against this deadline. And you -¬being investigated. We would not survive. don't want our relationship to become cannon fodder for this apparition in your working life. I'll be there for you at the end. You can count on that.
31,1424.0,1446.4,70.74122236671,"The lawyers had me sign this confidentiality statement where I'm liable financially if I put this new situation, I can't up. You know, what? How is everything what you want to know? So I lose my job wait, honey. I can't it's honey. I'm so sorry. My medical with Labs have got to take care of my baby. I'll still hasn't proposed. And if it does I don't you won't lose your job and he okay. All right. Don't tell me anything. Sorry boss.","...the lawyers had me sign a confidentiality statement where I'm liable financially if I..and with this new situation...Oh, the hell with everything what do you want to know? So lose a job wait no, can't... the medical would lapse.. and I've got to take care of my baby..A1 hasn't proposed yet and even if he does we can't afford to.."
43,1845.1,1846.4,72.34042553191489,Could that be him over there?,Could that be him?
43,1985.7,1999.7,71.06382978723404,George this is what I'm suggesting that we eat and and and we don't work at this conversation. Let's just cut ourselves a break here and and give ourselves permission to be quiet for the whole dinner.,"So what I'm suggesting is that we eat. Order something yourself which, all by itself,will make me more comfortable, and that we don't work at conversation. We cut ourselves a break here and give ourselves permission to be quiet...for the whole dinner...completely quiet."
43,2004.8,2006.0,95.83333333333334,Can I talk to the waiter?,Can talk to the waiter?
43,2008.2,2009.6,95.34883720930233,As long as you don't tell about your day.,As long as you don't tell him about your day.
50,2124.6,2126.0,76.0,I think I met a great girl.,think just met a girl..
52,2148.4,2150.5,80.37383177570094,The girls needed to tell you how they felt.,"The girls needed to tell you how they felt. Something, isn't it?"
53,2193.0,2194.4,80.64516129032258,Just working up the night.,Yeah. was just working up the night.
53,2199.6,2213.3,82.84960422163589,"Yes, I do. Then. This is what I need. I if in the middle of the night I start crying or shaking or acting enormously upset. I don't want you to ask you what's wrong what you just ignore it.","Ok. This is what need. If in the middle of the night start crying or shaking or get enormously upset don't want you asking, ""what's wrong?"" want you to just ignore it. Is that okay with you?"
53,2216.4,2218.6,75.75757575757575,"Actually, that's my preference. Okay?","Actually, it's my preference."
62,2441.3,2463.0,71.53284671532847,"I thought some of them were bringing their wives and that usually changes the behavior considerably. Okay. Look you lives here have this maybe the best barbecue anywhere flown in specially from you. So I mean he bought an extra first class seat just saw his friend could fly it in point till you taste this try the sauce for his that's how you really judge and this place Nails it and you know, they can't",apologize. thought some of them were bringing their wives and that changes the behavior considerably. Ramino had this maybe the best barbecue anywhere flown in from Houston special..I mean he bought an extra first class seat so a friend could fly it up...wait till you taste it...
64,2543.8,2572.0,73.08641975308642,"I'm going to go to grad school at night. And of course I have to work a few jobs, but I've got the private coaching thing lined up and lined up this part time retail thing. So I got there. Yeah, that's good. I got that covered. It's not his problem with my attitude when it's like what I have to do is just get to the place where I appreciate what the game gave me and and and accept and even embrace the obvious the time comes for every athlete. Well, it's never going to come for me.","I'm going to go to graduate school at night..and, of course have to work a few jobs. I've got that lined up. But, I've got this problem with my attitude..and what have to do is just get to the place where appreciate what the game gave me and accept and even embrace the obvious..that the time comes for every athlete where..."
64,2617.4,2621.1,78.4090909090909,Don't know what's going on with you make you give me on Hard Times that's not productive.,Don't let what's going on with you make you give me a hard time. That's not productive.
64,2622.5,2625.7,71.07438016528927,Not getting our time. It's the same word for women impotent.,I'm not giving you a hard time. It's the same word for women.
64,2645.5,2675.1,70.62146892655367,"I'm sorry, that's alright. I'll go ahead. Okay, so is girlfriend had a can you start to save all the cat's shit little trust store to save all the cats shit and every few days or so, it takes a little melt and wrap it in a different package like a gift, you know, our magazine roll or something order online every few days for eight months. He would send these cap turns to the guy.","It's okay. So his girl had a cat..and he started to save all the cat's shit. little trust...And every few days or so he took a huge amount and wrapped it in a different package -¬like a gift or a magazine roll..or something you ordered on line. Every few days, for eight months, he sent these cat turds to the guy who cut him."
66,2833.9,2835.9,76.66666666666666,Let me ask you something. How do you know when you're in love?,"Hey, let me ask this, how do you know when you're in love?"
66,2868.1,2869.5,77.19298245614034,"Holy shit, I'm in love.","Holy shit, I'm in love What do do?"
73,3311.9,3322.6,91.97080291970804,There are strong indications that they are going to indict you. I've canceled everything I've got and I am dedicating myself completely to this.,There are strong indications that they are going to indict you. I've cancelled everything I've got. I'm dedicating myself to this.
75,3450.0,3458.7,74.13127413127414,"Who is he? Yeah, I think you ought to check with me before you invite some guy over some a little too pissed off to just say hello.","Well, think you should check with me before you invite a guy over so I'm a little too pissed off to say, ""hello."" Just a little."
79,3571.7,3576.2,73.04347826086956,"Thanks, Tom. I just have to figure out where I'm going.","No, thanks, Tom..I have to figure out where I'm going first."
80,3637.5,3640.4,80.73394495412845,"Sorry, sir. I just wasn't able to contact you or for you.","Sorry, sir..I just wasn't able to catch her for you."
81,3686.4,3693.2,76.3975155279503,I'm not going to be great. Are you kidding me? Even right. Now? This is the best conversation. I've had since the night. We didn't say a word to each other.,Are you kidding? Even right now this is the best conversation I've had since the night we didn't say a word to each other. Lisa has a delayed amusement..a half laugh.
82,3729.9,3733.4,73.84615384615385,You're going to yell at me. That's it. That's why you called. You know what I think.,Hey.. It doesn't matter where am. You're going to yell at me? That's it? That's why you called? Well..I think..
82,3734.7,3737.9,77.14285714285715,"Wait, you're going to lose me.",Wait a minute..you're going to lose me..
82,3742.6,3748.3,84.78260869565217,"Just as well. I wasn't gonna go well from there. Anyway, I think we both need some time to think.",Just as well..it wasn't going to go well from there. think we need some time to think..
82,3782.8,3786.2,72.88135593220339,Could you not have a boyfriend so could we just,Could you not...I have a boyfriend...could we just.. Yes.. Really? Yes.
82,3790.9,3797.9,76.63551401869158,"I have a teammate next to mate who says the only time I say anything is when I'm drinking Guinness, so watch out.",have a teammate..ex-teammate who said the only time say anything is when drink Guiness..so watch out.
86,4175.7,4191.4,79.64601769911505,What sort of trouble you and George simply put currently unemployed? My girlfriend recently broke up with me. I'll soon run out of money and I'm the target of a federal investigation.,Simply put. I'm currently unemployed. My girlfriend has recently broken up with me. will soon be out of money and I'm the target of a federal investigation.
86,4195.6,4197.5,93.02325581395348,"Wow, you're real chick magnet, aren't you?","Boy, you're a real chick magnet, aren't you?"
