transcript,confidence,start,end
Where are they?,0.719475507736206,203.8,204.3
"Hello, where's Morgan?",0.6588752865791321,229.4,232.3
 My dream too.,0.7807523608207703,235.0,236.2
 Morgan what's happening dogs were barking woke us up.,0.9128385186195374,245.9,250.7
Are you hurt?,0.9128386378288269,253.5,254.4
 I think God did it.,0.8670611381530762,255.8,256.8
 You want Morgan?,0.7155797481536865,258.7,259.5
" Look, I don't even care if it was him and you could just have a word with him and that'll be enough for me.",0.883316695690155,339.7,345.9
 See it was strange and on the crops that way.,0.7738386392593384,347.3,350.2
 The kids were confused by it and sure take the strangeness away. If I know it was just Lionel in the wolfington brothers messing around. That's all.,0.9038832783699036,351.4,359.9
 at the movies,0.9128386378288269,362.6,363.3
 Are you sure?,0.9128386378288269,364.7,365.3
 Alright then. Thanks for your patience lie. Bye.,0.7436251044273376,368.2,372.3
" Genie Pete, thank you sick.",0.5503856539726257,377.6,379.9
" Once you take him outside, I'll call dr. Crawford. He doesn't really know what to do.",0.8459413647651672,381.6,386.9
 Oh that was quick Carolina only called your folks two hours ago. Oh mrs. Kendal button Twisted her ankle and she puts it died who for her life on a bunch of school kids rode down the sidewalk on skateboards. She went down to Thornton store this morning and started spitting on the no skateboards spittin by the time I got there. Mrs. Kettleman had sprayed the whole damn place.,0.7436220049858093,405.0,429.9
 And she must have had a cold as that that I'm telling you I won't eat for a week.,0.8028638958930969,431.3,435.6
 So what happened to you crops?,0.8480870723724365,439.5,441.2
 That's going to burn these again.,0.9128385186195374,446.6,447.9
 It's contaminated. You don't even know what that word means.,0.9128385782241821,457.6,460.9
 It's not contaminated just tap water pouring his bowl.,0.838039219379425,464.6,467.8
 She looks but everyday I don't think he'll mind.,0.7334745526313782,472.4,474.5
 Stop it.,0.9128385782241821,500.1,500.6
 bucket where it's bent over father,0.8062146306037903,508.4,510.3
 It's not broken.,0.9128386378288269,512.9,513.8
 And what kind of machine can bend to stalk of corn over without breaking it?,0.7869892120361328,515.4,518.8
 A by hand is too perfect.,0.74502032995224,520.8,522.7
 Doesn't sound much like Lionel Prichard and the wolfington brothers. I can't take a piss without when the front of their pants.,0.91164630651474,523.9,529.5
 I don't think anyone else around here has had knee problems.,0.857513427734375,531.9,534.3
 I was over Co Henry's Farm yesterday afternoon. He would have mentioned something. Why were you with use mice?,0.8141857385635376,535.5,541.3
 Some animals around the county have been acting funny.,0.760113537311554,542.7,545.3
 and some of them violent,0.9128385782241821,546.5,548.1
 - I don't think so father. Be more edgy on alert.,0.817579448223114,550.4,557.2
 It's almost like they act when they smell a predator around being themselves and everything.,0.8979405760765076,558.3,562.7
 Caroline,0.9128385782241821,572.4,572.9
 please stop calling me father.,0.9128385782241821,576.1,577.4
 What's wrong? I don't hear my children.,0.9128385186195374,579.5,582.7
 You feeling me.,0.7002256512641907,613.3,614.2
 You want to kill Bo?,0.738178551197052,615.6,616.6
 Did he hurt you?,0.9128385782241821,635.1,635.7
 I'm so sorry Morgan.,0.9128385782241821,643.3,644.3
Where were you?,0.9128386378288269,665.8,666.4
" Isabel after the back of the shed, please and make sure they're not very tight.",0.8168851137161255,671.0,674.0
What's the matter?,0.9128386378288269,719.8,720.5
 There's a monster in my room. Can I have a glass of water?,0.8024197816848755,721.9,725.2
 The water next to your bed taste old.,0.7086853384971619,728.6,732.1
Are you thinking about?,0.8049622774124146,766.0,767.1
 How do you talk to Mom when you're by yourself?,0.8952869176864624,771.0,773.6
 Makes me feel better.,0.9128385782241821,777.5,778.4
" Okay, she ever answer back.",0.8932978510856628,780.8,782.6
 She never answers me either.,0.8974695205688477,791.5,793.6
Richard in the wolfington brothers are back.,0.7022818326950073,813.1,814.9
 It's time for an ass whooping. This is not an intelligent way to approach this.,0.9128386974334717,817.2,821.1
 Lee is a friend of mine and this is his son Bobby do me a favor I listen we both go outside move around the house in opposite directions. We act crazy insane thing or making crap in their pants for surrounds. We meet up on the other side explain that crazy your Christmas stuff. I'm gonna curse you don't mean it. It's just for show it won't be convincing. It doesn't sound natural when I curse. Yes right noises then.,0.8088588118553162,823.2,852.2
 For what?,0.7022479176521301,856.1,856.7
" No, I'm not. Alright, you went through still is hoping the house next time.",0.7491733431816101,857.7,860.7
" Three one two three, I'm insane with anger. We're gonna tear your head off. I'm losing my mind.",0.8796790838241577,862.9,882.9
 It's time for an ass whooping.,0.9124844670295715,885.8,887.3
 I cursed I heard.,0.8688700199127197,893.7,895.5
 How did he get home?,0.9019395709037781,900.7,901.6
 Are you sure it's his Lionel Prichard?,0.6916669011116028,917.8,919.6
You like that?,0.9128386378288269,938.4,939.2
 You got an old baby monitor around go ahead an old baby monitor. You can use bows baby monitors a walkie-talkie can.,0.9110981225967407,943.9,952.1
" It only works one way, but that'll do fine.",0.8029930591583252,953.9,956.6
" That is until someone gets, you know, walkie-talkie left over to station.",0.8300827145576477,958.7,961.8
 the bow down to Lobster pesky leaf,0.8297098278999329,967.9,971.9
 You're too old to still be doing this you take a glass of water and you finish and I what's wrong with this one. There's dust in it this one.,0.9128383994102478,976.1,984.8
