transcript,confidence,start,end
No wrong. Sweet Daisy my prayer.,0.889251172542572,143.3,147.5
 I know that shit. We're not you won't see me if I die.,0.8689680695533752,157.8,172.2
 The truth is slag.,0.7186205387115479,192.1,193.0
 No prisoner 24601 your time is up and you?,0.75984787940979,242.3,245.6
" Paroles begun, you know what that means? Yes, he's home free followed to the letter your itinerary this Badge of Shame will show till you die. It burns your dangerous man stole a loaf of bread sister's child was close to death. We were starving you starve again, unless you learn the meaning of the law.",0.7124719619750977,245.8,274.8
" Do the meaning of those 19 years a slave five years for what you did the rest because you're trying to run. Yes 24601 name is Jean Valjean, and I'm shopping. Do not forget. My name do not forget me.",0.733238935470581,275.7,302.9
 24601,0.9128385782241821,304.4,306.7
Freedom At Last how strange it is?,0.9128385186195374,345.1,348.5
 Never forget the years the waste not forgive them for what they've done.,0.8080974221229553,351.6,359.9
 They are the guilty everyone.,0.9128385782241821,361.4,364.7
 The day begins and now let's see what this new world will do for me.,0.9122527241706848,366.9,374.0
 help his work papers,0.6259698867797852,392.3,394.5
No work here.,0.9128386378288269,402.1,403.1
" Well Joe as a dangerous man, he will be on parole forever.",0.8274431228637695,404.7,408.0
 Failure to report means immediate arrest being pontellier in 30 days.,0.8788770437240601,409.2,414.5
 follow him,0.9128385782241821,421.0,421.7
 Thanks.,0.7386999130249023,423.4,423.7
 Let me see your papers.,0.9128385782241821,429.7,430.9
" You should have papers sleep in the stable, please.",0.9128385186195374,433.0,436.0
 Hey.,0.8314014077186584,453.6,453.9
 Come in sir for you are weary.,0.9128385186195374,458.4,460.9
 And the night is cold out here.,0.9128385186195374,463.3,465.6
 The one lives are very humble. What we have we have to share.,0.9128386378288269,467.9,476.0
 There is wine here to revive you. There is bread to make you strong.,0.9040263891220093,478.2,486.1
 There's a bed to rest till morning rest from Pain and rushed from.,0.9126294255256653,488.2,495.8
 Bless the food we eat today.,0.9128385186195374,505.5,508.1
 bless our dear sister and our honored guest,0.6090192198753357,509.2,513.5
Put it down. Stay there.,0.9128385782241821,552.4,554.8
 more senior,0.7149530649185181,557.9,558.6
 We have your silver. We caught this man red-handed hit the nerve to say you gave him this.,0.8283975720405579,560.5,565.9
 That is right.,0.9128386378288269,567.9,568.7
 But my friend you left so early surely something slipped your mind you forgot I gave these also would you leave the best behind?,0.9128385186195374,570.4,585.3
 Thus were the least of this man has spoken true.,0.5021687746047974,590.7,594.5
 I commend you for your duty now God's blessing girl with you.,0.8371259570121765,595.9,602.0
Let's remember this my brother.,0.9072291254997253,605.5,607.9
 See you in the some higher plan.,0.9128385186195374,610.0,612.8
" You must use this precious silver to become an honest, man.",0.9128385782241821,614.8,623.0
 By the witness of the martyrs by the passion and the blood God has raised you out of Darkness. I have saved your soul.,0.8210893273353577,624.9,642.1
"What havoc on sweet Jesus what have I done become a thief in the night become a dog on the Run have I fallen so far and is the hour so late that nothing remains, but the Cry of my hate the cries in the dark that nobody hears here where I stand the turning our day he hears if there's another way to go hi, mr. 20 lat",0.8868374824523926,666.1,691.1
 Years ago my life was a war that could never be won. They gave me a number and they murdered Valjean when they chained me and left me for dead just for stealing a mouthful of bread.,0.8712279796600342,691.3,702.6
 It why did I allow this man to touch my soul and teach me love? He treated me like any other he gave me his trust. He called me brother my life. He claims for God above.,0.908909022808075,714.8,734.6
 Can such things be for I had come to hate the world.,0.8938593864440918,737.7,744.9
 This one that always hatin me take it off or not. I turn your heart into stomp. This is all I have left for this is all one word from him and I'll be back.,0.7624766826629639,746.4,775.2
 Beneath the Lash upon the rock. It's dead. He'll miss me my freedom. I feel my shame Inside Me Like a Knife. He told me that I have a song. How does he know what Spirit comes to move?,0.9128383994102478,776.9,800.4
 Is there another way to go? I am reaching but I fall and the night is closing in as I stare into the void to the whirlpool.,0.9128384590148926,806.3,827.3
 Now from that world from the world have some bounce shot. Some of the shine is nothing now.,0.7993439435958862,831.7,840.2
 At the end of the day you get nothing for nothing.,0.9062621593475342,951.3,953.3
 Sitting flat on your bum doesn't buy any bread.,0.9128385186195374,955.2,957.4
 There were children back at home and the children of got to be formed and you're lucky to be in a job and in a bed and we're counting our blessings. Have you seen how the foreman is fuming today with terrible breath and his wandering hands because little Fantine will give him his way take a look at his trousers and see where we stand and the bossy never knows that the foreman is always on heat if Fantine,0.8551875352859497,958.7,988.1
 team doesn't look out watch out. She goes she'll be out on the street at the end of the day. It's another day.,0.8024531602859497,988.2,997.0
" It'll let us know. Oh, come on Frontier. Let's have all the news dear Fantine. You must send us more money. Your child needs a doctor. There's no time to lose Ramirez and none of your business for the husband at home and a bit on the side.",0.7514659762382507,1018.3,1037.6
 Is there anyone here who can swear before God she has nothing to fear. She has nothing to hide like.,0.8283891677856445,1039.8,1044.0
" Come on, ladies settle down. I am the mayor of this town. I run a business of repute.",0.8759695887565613,1060.2,1067.3
" Deal with this woman. He's patient as you can. Yes, Michelle Madeline now someone say how this began a she's the one.",0.8742882013320923,1082.6,1091.9
 There's a kid that she's hiding some bits of tile. She has to pay you can guess how she picks up the extra you can bet. She's earning her. Keep sleeping around us wouldn't like it. Yes. It's true. There's a child in the child as my daughter.,0.795708179473877,1092.4,1108.5
" But a father abandoned us leaving us flat now, she lives with an Innkeeper man and his wife and I pay for the child. What's the matter with that?",0.8613051176071167,1110.4,1118.9
 I'm not have known the bitch could bite. I might have known the cat had claws. I might have guessed your little secret. I guess The Virtuous Fantine who keeps herself. So pure and clean you'd be the cause I had no doubt of any trouble hereabout. You play a virgin in the light heat? No urging in the night. Loving it you what she's having,0.9016457200050354,1140.8,1165.1
 go on your way.,0.6524365544319153,1173.0,1174.6
Welcome Spectrum.,0.6336057186126709,1200.9,1202.1
 Sheila man,0.7284996509552002,1203.5,1204.2
" Please no me I'll shovel I'm here at your command with all the Jutsu each and Justice and I'm No, Man's beyond our reach let all beware.",0.7762162685394287,1209.1,1224.7
" Welcome, sir. Come God I laws I'm sure we're here in common, cause you've done the city proud you're praised by those on high your success has gone to false the best that parents can supply your people thrive.",0.8211111426353455,1226.3,1246.3
 That Dignity of toil to stay alive. It seems to me we may have met,0.9128386974334717,1247.2,1258.6
 Your face is not a face. I would forget.,0.8507699966430664,1260.9,1263.9
 I don't know.,0.8981871604919434,1269.1,1269.4
Can this be true?,0.9128385782241821,1306.9,1308.2
 I don't believe what I see a man your age.,0.9128385782241821,1309.4,1314.4
 To be a strong as you are a memory Stars you make me think of a man from years ago a man who broke his parole.,0.8376324772834778,1316.0,1330.0
 You disappeared say why don't you must don't leave it there?,0.7506210207939148,1331.3,1335.7
Paul give me something I would not dare.,0.7435743808746338,1338.9,1341.9
 How much for this is my daughter's before francs for that attend smelling thing. I'll drop the anchor in that Harbor right over there lovely lady. I Love You Til I'm broke seven months at Sea. And now I'm hungry for a poke. You want Stoker's need a little stoke.,0.807770311832428,1365.8,1387.8
What pretty locks you've got there? What look you've got. It's worth is sun tea my dear. I'll take the lot. Don't touch me. Leave me alone.,0.9128384590148926,1406.6,1419.6
 Let's make a price. I'll give you all of 10 francs. Just think of that it pays a day. You're thinking that.,0.8893051743507385,1420.7,1433.1
 What can I do it pays a debt? Ten francs May save my poor Cosette.,0.9128386974334717,1434.7,1441.8
 Come over here. It's 20 francs for a tooth.,0.9128385186195374,1463.3,1467.9
 I'll for you.,0.7526398301124573,1471.4,1472.0
" You the pain won't last you'll still be able to B. I do it fast. I know my business. All right, it's worth Her Go.",0.6915346384048462,1473.1,1484.5
 You pay me first.,0.744254469871521,1486.5,1487.5
 Y'all get twice if I take two?,0.7653550505638123,1489.5,1492.1
 Give me the dirt. Who's that bit over there is a one-sided wreck. She's got a kid sends her all that. She can I might have known there is always some man lovely lady come along and join us lovely lady.,0.7391493320465088,1499.7,1516.4
" Come on, dearie, why all the fuss?",0.7915741205215454,1519.3,1522.2
 You're no grander than the rest of us life has dropped to the bottom of they join your sister likes money in your sleep. That's right. Dearie show him what you've got. That's right. Dearie. Let him off of the Lord.,0.8188822865486145,1523.2,1543.6
"Come on, Captain. You can wear your shoes Don't It Make a change to have a girl who can't refuse Easy Money lying on the bed just as well. They never see the hate that's in you.",0.9128383994102478,1582.1,1602.8
 Don't they know that making love to one already dead?,0.9007159471511841,1604.8,1610.9
There was a time when men were kind.,0.8155856132507324,1641.5,1644.1
 when their voices were so,0.8476106524467468,1646.3,1647.8
 and the word inviting,0.6560932993888855,1650.9,1652.5
 there was a time when love was blind and the world was a song.,0.8381129503250122,1655.4,1661.9
 And the Soul was extinct.,0.8586373329162598,1664.2,1667.0
 There was a time.,0.8665330410003662,1669.1,1670.9
 Then it all went wrong.,0.8954936861991882,1677.9,1681.3
I Dreamed a Dream In Time Gone more hope was high and life worth living.,0.9128386974334717,1696.9,1708.4
 I dreamed that love would never die.,0.9128385186195374,1711.9,1716.8
 We do we go. Could we forget?,0.8273302912712097,1719.6,1722.9
 And I was young and unafraid and dreams were made and used.,0.9012165665626526,1727.7,1738.5
 There was no Ransom to be paid no song unsung no wine untasted but the Tigers come at night with their voices soft as Thunder.,0.9128385186195374,1743.6,1770.4
 as day 10,0.7073963284492493,1774.7,1776.1
 as they turn your dream to shame my days with endless Wonder.,0.9128386378288269,1782.7,1810.6
" He took my childhood in his stride, but he was gone that together.",0.8683618903160095,1813.5,1840.4
 That cannot be ours. We cannot dream. My life would be different.,0.765700101852417,1844.9,1866.8
 from What It Seems,0.9128385782241821,1871.4,1872.7
Life has killed the dream.,0.9128385782241821,1883.6,1889.3
 I dream.,0.5866811275482178,1896.8,1898.8
What do you have for me?,0.9128385186195374,1926.2,1927.2
 So youngest son.,0.8912532925605774,1928.9,1929.9
 You've got some nerve you little slut. You've got some gall.,0.7150940895080566,1937.7,1940.9
 Christ you'll pay for what you've done I guarantee I'll make you suffer. I'll do whatever you tell me quickly. What's the story who saw what and why and well let him give a full description. Let him answer to Javert. Would you believe it? I was lost here in the dark when this prostitute attacked me.,0.9128382205963135,1946.3,1974.6
" Can see she left her Mark she will answer for her actions. If you make a full report, you may rest assured Monsieur. She will answer to the court. There's a child who sorely needs me, please Monsieur. She's but only God is there no mercy. If I go to jail, she'll die. I have heard such protestations every day for",0.9128382205963135,1975.2,2004.9
 twenty years. Let's have no more explanations. Save your breath honest work just reward. That's the way to please the Lord.,0.784386157989502,2005.1,2017.3
 A moment of your time Javert do believe this woman's Tale the Shuler man. You've done your duty. Let her be she needs a doctor not a jail Suleiman where Will she end this child without a friend?,0.7741316556930542,2018.7,2038.5
 I've seen your face before.,0.8684579133987427,2042.3,2044.4
 Show me some way to help you.,0.7848990559577942,2048.4,2051.7
 How have you come to grief and such a place as this?,0.822446346282959,2054.6,2061.4
 Shut don't mock me now. I pray.,0.8517202138900757,2064.6,2067.7
 It's hard enough that I've lost my pride you let your phone and yes you were there and turned aside.,0.5951560735702515,2070.1,2089.2
Is it true what I've done my daughter's close to an innocent Soul. If there's a God above you'll know then he'd let me die instead in his name. My task has just begun.,0.9128383994102478,2099.5,2123.1
 I was taken to the hospital Monsieur Le maire. There was your child with an Innkeeper for her immediately.,0.7462708950042725,2125.8,2133.4
 From Paris is here.,0.7925870418548584,2145.9,2147.1
"Michelin man, I have a crime to declare",0.9081076979637146,2162.6,2166.4
 I have disgraced the uniform that I well I've done you wrong. Let no forgiveness be shown my penis hard on every Rogue. I have known.,0.8453582525253296,2167.6,2180.3
" I mistook you for a convict. I have made a false report. Now. I learned they caught the culprit. He's about to face the court and of course, he now denies it you'd expect that of a con, but he couldn't run forever. No not even Jean Valjean.",0.9128382802009583,2181.9,2200.2
 You say this man denies it all and gives no sign of understanding or repentance.,0.9128386974334717,2204.0,2208.0
 You see this man is go to trial and that he's sure to be returned to serve his sentence. He will pay and so must I press charges against me sir. You have only done your duty to - in at most all of us have made misjudgments. You'll returns her to your post.,0.8341304659843445,2209.4,2234.3
 They think that man is me without a Second Glance.,0.7596403360366821,2249.0,2252.7
 The Stranger they have found this man could be my chance.,0.8042448163032532,2253.9,2257.6
 Why should I save his hide? Why should I write this wrong?,0.8476896286010742,2258.7,2262.4
 When I have come so far and struggled for so long.,0.9128385782241821,2263.6,2267.5
 If I speak I am condemned.,0.8032976984977722,2270.0,2274.0
 If I Stay silent,0.9027359485626221,2276.3,2278.1
 I am down and I am the master of hundreds of workers. They all look to me.,0.8416126370429993,2279.5,2286.5
 Can I abandon them? How will they live if I'm not free?,0.7902137637138367,2288.3,2292.2
 If I speak they are condemned.,0.7996063232421875,2295.3,2298.5
If I Stay silent,0.9102694988250732,2300.8,2302.5
 Who am I?,0.9128386378288269,2313.7,2315.2
 Can I condemn this man to slavery?,0.7634987235069275,2318.0,2320.0
 Pretend I do not feel his hacken Lee.,0.7601354718208313,2321.9,2324.3
 This innocent who Bears my face who goes to judgment in my place. Who am I? Can I conceal myself forevermore pretend I'm not the man I was before.,0.9128384590148926,2326.9,2339.9
 I must my name until I die be no more than an alibi must tie line.,0.890447735786438,2342.2,2347.2
 How can I ever face my fellow men?,0.8883606791496277,2348.7,2350.9
" How can I ever face myself again, my soul belongs to God. I know I made that bargain long ago gave me hope when hope was gone. He gave me strength to Journey on on Who Am I who am I?",0.912838339805603,2352.2,2378.4
" So your honor you see it's true this man Bears no more guilt and you who am I you are not. Well, you must come with me. Don't leave me.",0.6317571401596069,2386.2,2409.6
 Inspector chebet you'll find me at the hospital.,0.6730536222457886,2409.8,2412.0
 Past your bedtime.,0.9128386378288269,2440.5,2442.9
