transcript,confidence,start,end
We're cutting inside High cards. Am I going to be savvy?,0.8375343084335327,85.9,96.7
No way. He's gonna make it.,0.864145040512085,151.9,153.1
St. Cloud boys. Let me take your picture. Hold on a second.,0.9128386378288269,182.2,185.4
 Got to look good for the newspaper. Right? Look at me sexy clothes.,0.8961362838745117,187.5,191.9
" Congratulations, boys. Thank you. Good.",0.8791217803955078,196.1,199.7
 I really thought you had him this time Tessie.,0.8777385950088501,204.2,205.9
" Thank you. Charlie. Just wanted to say you know, great race really closed off. Thanks, ma'am. Yeah, you know, they won't let you pull stunts like that in college races. So st. Cloud Yale Stanford third race this season just mark down on your calendar st. Cloud.",0.7427861094474792,213.1,227.6
" Come on, Sam. Don't look at me like that.",0.9128385186195374,233.7,235.9
 Where do you think they're going Charlie?,0.8613470792770386,249.7,251.4
 everywhere Sammy,0.8605304956436157,252.6,253.6
 We're going everywhere.,0.7739067077636719,255.1,256.1
" Don't worry, that's going to be us one day.",0.9123528599739075,262.2,263.7
 You and me but setting sail at Sunset cannons.,0.8869016170501709,267.7,271.0
" It's not like it would be the end of the world. I'm just saying I could work for year fill the coffers and then go to Stanford. You said yourself? It was too expensive even with the aid money. I didn't say it was too expensive I said, it was expensive Mom. I don't want you having to work double shifts at the hospital all the time. You got involved. So you go and fall. You can't put my life on hold Charlie. It doesn't wait for you.",0.9001703262329102,275.7,296.8
 I want to be there when you spank you I do too. I want to be there when he spent Shale. Thank you.,0.8765822052955627,302.3,309.6
 He's dressed so fancy.,0.7887624502182007,317.9,319.3
 Look beautiful mom.,0.7415163516998291,322.1,322.9
 gorgeous,0.9128385782241821,324.8,325.4
" Charles Percival st. Cloud, congratulations expecting big things from you young man expecting big things for myself. So",0.9093204140663147,326.4,347.1
 Straighten up. Hey kegger at the point tonight. Your attendance is required.,0.7963802814483643,352.2,378.7
" Okay, the last Iraq gonna have piranhas on some of my own ship out next week for bootcamp. Everything got accelerated next week.",0.9002048373222351,379.0,387.8
 late,0.9128385782241821,416.9,417.5
" Oh, yeah confirm. I thought you liked Sam. Do you want to make Majors next season? Yeah, I'm gonna try. Yeah, you're gonna try. Yes. Definitely. Yes. I don't want to waste my time here with yes. Yes. Yeah. Yeah. Okay. I'll make a deal with you.",0.9128382802009583,419.0,433.5
 I'll practice with you for one hour every day right after I get off work up until I leave for Stanford.,0.9128386378288269,434.7,440.0
 Meet you at Sunset cannons if your day.,0.9128385186195374,443.0,445.9
" But if you keep me waiting like this, just one time the whole deal's off. I won't I won't you better not swear.",0.880685567855835,447.0,455.7
 Okay.,0.9128385782241821,458.6,459.0
 And let's do this.,0.82532799243927,461.5,462.3
 stop,0.9128385782241821,466.8,467.4
 Stop what fundamentals get over here?,0.9128385186195374,471.2,474.4
 Put your hand out Palms up.,0.7596028447151184,478.7,479.9
 Citywide teams,0.6131857633590698,481.1,482.0
" That's the correct way to hold a baseball, you know, I was gonna get to go to baseball cap.",0.8636860847473145,484.5,488.3
" A because rich kids go to Camp Sammy. You have a trust fund. You're not telling me about not really no. No, you don't but you know what you do have good looks no, you got me get back over there Hustle.",0.912838339805603,489.0,502.4
" Hey, I pulled an extra shift you are on Sam Duty. Mom. I have plans sure he gets in the bed at a decent hour. Okay?",0.8062201738357544,505.3,516.0
Hey Sam.,0.9128385782241821,522.2,522.9
" Legs. Hey buddy, you dinner's ready. Okay salmon, put your dinner in the oven, right?",0.8809283971786499,528.8,535.1
stop,0.9128385782241821,560.0,560.8
