scene,start,end,score,query,script
7,255.8,256.8,100.0,I think God did it.,I think God did it.
8,405.0,429.9,75.45219638242894,Oh that was quick Carolina only called your folks two hours ago. Oh mrs. Kendal button Twisted her ankle and she puts it died who for her life on a bunch of school kids rode down the sidewalk on skateboards. She went down to Thornton store this morning and started spitting on the no skateboards spittin by the time I got there. Mrs. Kettleman had sprayed the whole damn place.,"Mrs. Kindleman twisted her ankle as she put it, ""diving for her life"" when a bunch of school kids rode down the sidewalk on skateboards. She went down to Thorton's store this morning and started spitting on the new skateboards.  Spitting! By the time I got there, Mrs. Kindleman had sprayed the whole damn place... She must have had a cold or something.  It was enough to turn a grown man's stomach."
9,457.6,460.9,81.1881188118812,It's contaminated. You don't even know what that word means.,You don't even know what that word means.
9,464.6,467.8,77.96610169491525,It's not contaminated just tap water pouring his bowl.,It's not contaminated.  It's just tap water.  Pour it in his bowl.
11,515.4,518.8,77.55102040816327,And what kind of machine can bend to stalk of corn over without breaking it?,What kind of machine can bend a stalk of corn over without cracking it?
11,520.8,522.7,67.74193548387098,A by hand is too perfect.,Can't be by hand... It's too perfect.
11,523.9,529.5,86.92307692307692,Doesn't sound much like Lionel Prichard and the wolfington brothers. I can't take a piss without when the front of their pants.,Doesn't sound much like Lionel Prichard and the Wolfington brothers.  They can't take a piss without wetting the front of their pants.
11,558.3,562.7,73.83177570093457,It's almost like they act when they smell a predator around being themselves and everything.,"No Father, they're edgy.  On alert. Like they act when they smell a predator around... Peeing on themselves and everything."
11,579.5,582.7,78.125,What's wrong? I don't hear my children.,I don't hear my children.
12,671.0,674.0,71.42857142857143,"Isabel after the back of the shed, please and make sure they're not very tight.",Please tie up Isabelle to the back of the shed.  Make sure the knot's tight.
15,721.9,725.2,77.66990291262135,There's a monster in my room. Can I have a glass of water?,I saw a monster.  Can I have a glass of water?
16,771.0,773.6,85.1063829787234,How do you talk to Mom when you're by yourself?,Why do you talk to mom when you're by yourself?
16,780.8,782.6,79.24528301886792,"Okay, she ever answer back.",Does she ever answer back?
16,791.5,793.6,77.19298245614034,She never answers me either.,She doesn't answer me either.
18,817.2,821.1,75.59055118110236,It's time for an ass whooping. This is not an intelligent way to approach this.,This is not an intelligent way to approach this.
20,885.8,887.3,70.88607594936708,It's time for an ass whooping.,I've lost my mind!  It's time for an ass whoopin'!
23,976.1,984.8,78.51851851851852,You're too old to still be doing this you take a glass of water and you finish and I what's wrong with this one. There's dust in it this one.,"Bo, you're too old to still be doing this.  The rule is, you take a glass of water, you finish it. Now what's wrong with this one?"
23,1061.7,1063.1,67.32673267326732,Don't you think that's kind of odd?,You can't describe him at all? Don't you think that's find of odd?
23,1067.8,1072.3,71.31782945736434,I don't know whether to look for a giant or a midget. I definitely wasn't a midget.,I don't know whether to look for a midget or a
23,1073.9,1076.5,76.19047619047619,"Okay, so he was tall.",Okay. So he was tall?
23,1112.9,1116.2,67.83625730994152,They got these Scandinavian women who can jump clean over me.,They got women's high jumping in the Olympics.  They got these Scandinavian women who could jump clean over me.
23,1121.0,1134.3,68.54130052724076,Caroline I know you making a point here. I just don't know what it is an out-of-town woman stopped by the diner yesterday afternoon and started yelling and cussing because they didn't have her favorite cigarettes at the vending machine.,"Yesterday afternoon, an out of town woman stopped by the diner and started yelling and cussing cause they didn't have her favorite cigarettes at the vending machine. Scared a couple of customers.  No one's seen her since... My point is, we don't know anything about the person you saw.  We should just keep all possibilities available."
23,1160.7,1174.2,77.55102040816327,"Excluding the possibility that a female Scandinavian Olympian was running around outside our house last night what else might be a possibility and not done asking questions, and I don't appreciate sarcasm.","Excluding the possibility that a female Scandinavian Olympian was running around outside our house last night, what else is a possibility?"
23,1177.1,1187.7,93.77049180327869,Do you two have anyone who might have a grudge or something against you maybe a church member who might not have liked the fact that you left the church?,"Do you have anyone who might have a grudge or something against you? Maybe a church member, who might not have liked the fact, that you left the church?"
23,1191.5,1196.4,80.4733727810651,I don't think so. Okay. I was out of line with the whole female Scandinavian Olympian thing.,"Listen, I was out of line with that whole female Scandinavian Olympian thing."
23,1203.5,1209.1,71.77033492822966,And I was running as fast as I could and this guy he was just toying with us.,"It's just that, I'm pretty strong and pretty fast.  And I was running as fast as I could.  And this guy... He was just toying with us."
24,1285.8,1287.9,100.0,What in God's name is going on?,What in God's name is going on?
25,1350.1,1351.7,83.87096774193549,You take care of yourself.,You take care of yourself... Graham.
28,1461.2,1463.1,84.61538461538461,You have any books on extraterrestrials?,Do you have book on extraterrestrials?
29,1524.2,1530.1,73.07692307692308,All this stuff on TV don't girls came in here to talk about the end of the world. I'm just a little scared.,All this stuff on TV... Joe Gills was in here talking about the end of the world... I'm just a little scared. Please.  I need to take confession with you.
30,1565.7,1586.6,80.70175438596492,I say it's called probing. It's a military procedure send out a reconnaissance group. Very small check things out not to engage but to evaluate the situation evaluate the level of danger make sure things are all clear clear for what?,"It's called probing.  It's a military procedure.  You send a reconnaissance group, very small, to check out things.  Not to engage, but to evaluate the situation.  Evaluate the level of danger.  Make sure things are all clear..."
30,1589.3,1590.2,91.30434782608697,For the rest of them.,... For the rest of them.
30,1597.4,1599.5,89.65517241379311,You got a pamphlet or something I can read.,You have a pamphlet or something I can read?
30,1605.9,1607.3,77.10843373493977,Getting used to play baseball did you?,Hey you didn't used to play baseball did you?
30,1610.2,1622.5,89.32038834951457,"Shit. I know you your Merrill Hess. I was there the day you hit that five hundred and seven footer over the left field wall set the record man that thing had a motor on it it still a record, right?",Shit.  I know you.  You're Merrill Hess.  I was there that day you hit that five hundred and eighty seven footer over the left field wall and set the record.  That thing had a motor on it... It's still the record right?
30,1624.8,1631.8,71.32867132867133,"Got the bad at home on the wall. You've got two minor league home run records, don't you 5?",You got two minor league home run records don't you?
30,1647.3,1666.8,76.35135135135135,Well Arnold Mario is a class a screw-up. You just swing that bat as hard as he could every time didn't matter what the coaches said the matter who is on base you just whip that back to the air as hard as you could look like a lumberjack chopping down a tree Merrill here has more strikeouts than any two players.,"He'd just swing as hard as he could every time.  It didn't matter what the coach said, didn't matter who was on base, he'd whip that bat through the air as hard as he could... Looked like a lumber jack chopping down a tree. Merrill here, struck out more times than any two players."
30,1668.4,1670.2,83.78378378378379,You really got the strikeout record.,You really hold the strike out record?
30,1678.4,1679.8,100.0,Felt wrong not to swing.,Felt wrong not to swing.
32,1693.8,1708.3,68.65671641791045,Can You Hear Me Dead Carl is something wrong with our water your water's fine boy has this thing about her drinking water she had her whole life. It's like a tick people have except it's not a tick,Your water is fine.  Bo has a thing about her drinking water.  She's had it her whole life.  Like a tick people have.  Except it's not a tick.
33,1755.9,1762.1,86.73469387755102,"Pharmacy Crowder, I don't want anyone of you spending time with Tracy Abernathy alone. Is that understood?",I don't want any one of you spending time with Tracey Abernathy alone.  Is that understood?
35,1909.4,1910.6,75.55555555555556,Can I see that please?,Let me see that please.
35,1946.1,1948.1,69.23076923076923,"Wishes, did you hear that?",Voices.  Did you hear that?
35,1963.9,1965.5,75.86206896551724,Probably picking up another baby monitor.,It's probably picking up another baby monitor.
35,2034.9,2039.9,67.74193548387098,"Stop, there's two of them talking.",There's two of them talking.
37,2219.2,2224.6,71.900826446281,I'm not going to report this or anything you do to my crops to the news or TV or anybody.,"You're wasting your time here!  I'm not going to report this or anything you do to me crops, to the news or TV or anybody!  You're not going to get famous!"
38,2363.5,2364.8,87.5,Let's turn on the TV.,Okay. Let's turn on the TV.
39,2374.0,2396.0,92.45283018867924,Mexico City officials as well as us officials have confirmed that these are not aircraft from either governments Air Force. The first sighting was made by an air Mexico 747 and route from Mazatlan to New York as the unidentified crafts entered Mexico City airspace. They were not detected by radar by either country.,Mexico City officials as well as U.S. officials have confirmed that these are not air crafts from either government's airforce.  The first sighting was made by an Air Mexico 747 en route from Mazatlan to New York as the unidentified crafts entered Mexico City air space.  They were not detected by radar by either country.
39,2404.9,2421.4,83.08823529411764,My ballet recital listen Bo this is very important. Everything people have written about in science books is going to change the history of the world's future is on the TV right now. We need to record the shake and show your children this tape and say you were there.,Listen Bo.  This is very important. Everything people have written about in science books is going to change.  The history of the world's future is on the TV right now.  We need to record this so you can show your children this tape and say you were there... For your children Bo.
