transcript,confidence,start,end
You're in room 316.,0.9128385782241821,50.1,52.4
 Welcome. Thank you.,0.9128386378288269,53.5,54.8
" Schreiber uh, hey, I'm crazy. Okay.",0.6636157631874084,97.9,103.7
" It's great. No, Mom. She's not here yet. At least I got to pick my side of the room. All right. I'll talk to you later. I love you.",0.9128384590148926,114.7,125.0
"Hey tossing. My cab is throwing a bash you have to come and thank mr. Pratt, you know beer guys. I know I guys I think I'm gonna wait for me with me dude, please please, please. All right.",0.8608023524284363,141.5,154.9
 quick break,0.8385506868362427,185.9,186.6
" Oh, no, I'm so sorry about that. I really am. Sorry. But wait, are you going I'm feeling a little dizzy. Let's find you a seat and I'll grab you. I'm gonna grab a beer. Do you want one? Oh, no, thanks. I'm just having punch that might explain a few things.",0.9103895425796509,201.1,229.6
" We tend to spike the punch. He spikes. Yeah, when a girl has had three cups. We don't get her up into a room. We have to pull kids to duty for like a week. I'm gonna go to the bathroom. I have to clean this up Landon work. Yes backfired. What plan I purposely spilled beer on you.",0.7334187626838684,229.9,259.7
 Start a conversation. You purposely spilled beer on me. Yes.,0.9128385782241821,260.0,263.5
" You know, my dad yelled at for helping girls actually leave a frat party. It's kind of like the opposite of everything we stand for.",0.7373586893081665,318.8,325.6
 Good night. Wait. Nah keep it save it till next time.,0.8035535216331482,341.7,346.7
 Sorry about kitchen duty. I was just bullshit.,0.7380586862564087,347.9,351.1
Hi.,0.9128385782241821,366.8,367.3
 How are you and your roommate Rebecca do that?,0.8990595936775208,373.5,378.5
Hey Sarah.,0.8172038793563843,433.2,434.0
" Mmm, you met me last night.",0.797044575214386,437.1,439.0
 All right starts with them are Rebecca here take these little help.,0.871012270450592,441.0,448.7
 Thanks.,0.9028502106666565,450.8,451.4
 I don't drop by here last night Daddy.,0.8189136981964111,457.1,458.6
 Did you dance very cool? Thank you.,0.9128385186195374,462.3,467.0
" Come on, let's hit the bookstore the walk will help your head. It's too early for me 3:00 in the afternoon. Oh God.",0.9128385782241821,469.6,478.2
"Jason how you doing? I just wanted to hear your voice. I told you not to do this. I need to talk to you. I'm just making it harder Sarah. Listen, I",0.8568172454833984,487.2,497.4
" Yeah, but you didn't remember. That's the problem.",0.7449852824211121,499.4,501.8
 I gotta go.,0.8644220232963562,503.1,503.7
" That didn't sound good. Is that your boyfriend X. It's complicated. We're supposed to go to college together. We both applied to Brown and I got into he didn't and I stuck to our agreement and we both committed to Ula and a couple of weeks ago a spot opens up the ground and no. Yeah, he did it. Oh you did. What an asshole. Do you miss him? Sometimes I think I do. It's hard to let go. Believe me. I know.",0.9008777737617493,506.0,535.6
 But you're in college now A girl's gotta move on.,0.8869973421096802,535.9,539.7
 Oh my God.,0.901048481464386,542.1,543.1
 Why I am so jealous. Oh.,0.9128385186195374,544.0,546.8
" Yeah, I'm kind of a clotheshorse. Actually. Can I put some stuff in your side? No problem. You can borrow anything you want. This is some of the sub only seen in Vogue. My parents idea of bonding is sitting me listen Beverly Hills of the Platinum Card. Are you from here 20 minutes away? Well, that must be nice go home on the weekends free laundry frame me. Yeah not gonna happen. Hi, let's just say nothing is free in my house.",0.7279788255691528,548.1,571.7
" What is that? Oh, it's nothing. It's just some ideas.",0.9124773144721985,572.3,576.3
 It's good. Thanks.,0.7465967535972595,578.7,580.3
 Do you mind if I take a look at what you were doing? Actually I do it's nothing personal. It's just my process.,0.9128385782241821,582.5,588.1
" And what I want you to look in this was perfect, okay.",0.9128386378288269,590.4,593.4
" Hey, Sara, hey, hey Chase D. And Kim. This is my roommate. Rebecca Rebecca. How formal what? Can we call you about Reba? What that guy? How about Becky? Becky is good. Yeah, Becky.",0.8054490089416504,597.2,613.2
 I like Rebecca.,0.8262946605682373,614.7,615.6
" Okay. Well, I gotta go through this class.",0.785129964351654,617.4,633.6
 Make you understand.,0.877413809299469,634.8,636.1
 You're aspiring to do something great to emulate the likes of Marc Jacobs Vera Wang. We're going to perhaps even surpassed them what you create will be considered art. And don't let anyone tell you differently the journey starts right here right now.,0.7578350305557251,637.0,655.0
 That's my job.,0.6475726962089539,655.8,657.1
 Make you understand that each of you.,0.9128385186195374,659.7,661.8
 and be artists,0.8627917170524597,663.4,664.5
 Professor Roberts is I'm really sorry to bother you. It's just I absolutely must take this class is full.,0.7109537720680237,669.4,676.5
" Late girl, right. Let's see. What's your name? Sara Matthews? I brought a request for him. Why should I sign your form? Sarah Matthews when I turned down a dozen others when that be fair?",0.7871198058128357,678.5,688.6
" No, I guess it wouldn't don't worry intro design is three other sections.",0.9128386378288269,690.4,694.6
 That's okay. I'll take it next year.,0.8036380410194397,696.5,698.1
 I want to take your class sir.,0.9114882349967957,699.3,704.1
 I have two things I can't teach and that is style and desire.,0.640558123588562,713.8,718.0
 Thank you. You're welcome. I'll be late. I will not be like,0.8895006775856018,723.6,729.0
 Who's that my friend Irene? She graduated from the Art Institute out here last year. She's an artist. She's to be design consultant from Marc Jacobs Paris was amazing Milan in the fall. And now she's off to Barcelona. Hey you guys free or go to Seven Grand how we gonna get in? We're hot you guys in clubs aren't really my thing.,0.9128382205963135,732.9,755.7
 So which of the two gentlemen at the end of the bar?,0.8504166603088379,762.0,776.3
 Cheers Cheers,0.5900243520736694,779.7,780.4
" All right, let's dance. All right. Can I put these in your bag? Yeah. Thanks.",0.7630980014801025,783.7,786.6
Tracy,0.7186300158500671,835.4,836.0
Hello.,0.9128385782241821,856.6,857.2
 Yes.,0.9128385782241821,861.3,861.9
"Nice car. So where's Tracy? I have no idea. Well, as long as I'm here, you're hungry. I'm starving you feel you can't believe she ran out on you. Thank you for coming course. I was up. What are you having pancake? That's what I was thinking.",0.9123379588127136,883.2,904.5
