transcript,confidence,start,end
I'm not a Christian. I'm not an atheist. I'm not Jewish. I'm not Muslim My Religion what I believe in.,0.9128386378288269,58.0,67.5
 It's called the Constitution of the United States of America.,0.8575618863105774,68.7,71.9
 Hang on. Let me open these up.,0.9128385186195374,91.8,94.6
"Okay, go ahead.",0.9128386378288269,132.8,133.6
 If I'm not religious enough for you don't vote for me if I'm not.,0.7976526618003845,136.3,140.3
 Experienced enough for you. Don't vote for me.,0.9128385186195374,142.0,146.2
" No, it don't fall for me. Don't don't do it.",0.8369749784469604,151.0,153.8
" Whatever you do. Don't go for me. How's that? Okay. Okay. Thanks. Okay. Can we get the monitors up a little I like the governor to be able to hear himself. You got it. Okay. Also, we're going to put Rises into these podiums like we discussed in the preconditions. No, I know you got the specs the last night.",0.8903018236160278,155.4,171.6
" Making something slide right under the okay. Thank you. Just a few inches short. So it makes it hard for him. There is nose Okay gentlemen, thank you. And I'll see you in a few hours. The governor trouble reading is knows why isn't your glasses? No, he doesn't just Pullman's 58. It's going to look like a Hobbit.",0.8017066717147827,172.7,186.9
" Comes down to this. We are one week away from the Ohio primary two Democrats are left standing Senator Pullman of Arkansas trailing Governor Morris of Pennsylvania, Governor. Morris has mounted a sizeable lead with 2047 delegates winning, New Hampshire, California, New York and Michigan, but Senator Pullman with 1302 delegates is still in the hunt having won, Florida and, Tennessee and Virginia.",0.756647527217865,209.5,234.2
" And Missouri a win in Ohio could turn it all around for the Arkansas Senator one week from Tuesday the all-important 161, Ohio delegates could be the deciding factor. Once again, it is true as goes, Ohio. So goes the nation.",0.8738428354263306,234.3,250.7
 Did you call yourself a Christian? I would that matter. Let me quote. I have no idea what happens when we die. Maybe nothing. Maybe it's like before we were born unquote. You did write this Governor. Let me be specific please. Do I was raised Catholic? I am not a practicing Catholic and I have no idea what happens after we die. The senator does that maybe should be president? I'll vote for him. That's your idea of being specific. Let me be more specific and key.,0.9000488519668579,253.5,278.7
 I am not a Christian or an atheist. I'm not Jewish or Muslim. What I believe my religion is written on a piece of paper called the Constitution meaning that I will defend until my dying breath your right to Worship in whatever God you believe in as long as it doesn't hurt others. I believe we should be judged as a country by how we take care of the people who cannot take care of themselves That's My Religion if you think I'm not religious enough don't vote for me.,0.8662055730819702,280.0,303.7
" If you think I'm not experienced enough or tall enough, then don't vote for me because I can't change that to get elected. I just want you to say out loud. If you believe in the teachings of the Bible is this a Democratic primary or a general election? Well Governor whoever wins this contest will be running for president. And if you think that these questions won't be Central in a general election. Then you are living in Fantasyland. I'm simply pointing to the obvious. We are running for president of the United States not student council president.",0.9128392338752747,304.4,332.9
 fucking National Security,0.7973632216453552,362.6,363.9
 Out of the park home run would like to thank you for attending tonight's debate and ask you to please remain in your seats until the king.,0.8602728843688965,365.5,374.5
" You know, I'm trying to remember if the Democrats have ever nominated 80s before well, we know they've nominated a jackass before.",0.8844959735870361,377.6,385.1
" I must have been you that did the prep work Steven Paul's not that clever. You've always had the brain stuff he but me I've had the balls. Well, it looks like you've got some brains now, too.",0.8201501965522766,386.7,397.1
 Be careful. I just might have to steal him from you.,0.9128385782241821,399.1,401.3
 What a prick.,0.9128386378288269,405.2,406.0
 meet again,0.7192111611366272,414.0,415.0
 don't know where don't know when but I know we'll meet again some sunny day. So Paul tell me something. I don't know tell me what's going to happen on the 15th. Hmm.,0.9128383994102478,416.5,436.9
" What do you think Stevie? I think it's ours for the taking. What do you think? Yeah, then when what do you think? I'd I'm asking you you tell me I'll tell you if I had to say I'd say it'll be close, but you'll get out eek you see she's trying to get under my skin. So it's going to help us by 9.",0.8942282199859619,442.6,465.8
 So you certain you're going to win here certain? No confident. Yeah just said you win by nine and I think that we will I'm not going to tell you it's a sure thing and we fuckin Saint Gabriel can blow his horn on Election Day and get his four horsemen to read the ballot boxes for Pullman and it wouldn't surprise me six presidential I've done and I've never felt this good but I'm not going to sit here and say yeah. Hey what win Ohio not a chance in the last 30 years seventy three Democrats run for president. How many 13? All right. I mean some of these guys ran to thought they had a chance and they all lost,0.7872641682624817,467.9,497.4
