transcript,confidence,start,end
He made contact with you or shower falling off the coast of Tokyo. The entire city is mesmerized by this article is about high-powered life is clear. The world is at War.,0.7585161924362183,6.5,32.8
 At 14:46 Pacific Standard Time 12 different locations across the globe would reach and what appears to have been a coordinated attack by unknown enemy all breaches. Well along the coastline in what is a campaign of Rapid dominance? This is a,0.7477105259895325,45.6,64.0
 Book military Invasion massive casualties in New York defensive lines are being set up in Boston and a 13 15 jul 2013 11 Communications from San Francisco and San Diego their status is unknown.,0.9007314443588257,64.2,79.9
 What we do know is that we are the last offensive force on the west coast cannot lose Los Angeles.,0.9128386378288269,81.4,88.9
Good Wednesday morning Surfrider Foundation morning. Surf report Surfers hard are these conditions blown out there with the ocean slapping and shopping things up?,0.8430044054985046,140.4,150.0
"You know what to say? No, he's old as you feel stay outside. That's what I'm worried about. I can't feel a damn thing.",0.9071075320243835,206.7,214.0
" We're what appears to be a small cluster of meteors is predicted to enter our atmosphere sometime in the early hours of tomorrow morning. We're expected to strike miles from Land far into the Pacific Ocean and with the rock John God. What's up, Mike?",0.8940978050231934,222.2,240.8
" Hey, what happened to that picture of us in Iraq without camels? I mean your girlfriend is this for real? It's got your signature on it. I said that's got to be a mistake. He can't write no mistake. John did my 20 I know when to get out come on, you got the box full of medals and file full of commendations. You can have it seems you like interior decorating Marines got a shelf like, you know,",0.9128386378288269,241.9,266.1
" After that, what is spoils something like that? I'll finish my training assignment with these marines get them combat ready?",0.9128386378288269,267.1,276.0
" And I'll be on my Merry way, you know, we could always use another lean mean typing machine. Should I bill like you John ugly slow soft?",0.9128384590148926,277.2,287.8
 Had to make some tough calls their mind.,0.7784867882728577,293.5,295.5
 especially that last one,0.9128385782241821,297.4,298.7
 We all wish your men made it home.,0.9128385186195374,300.9,302.9
 And we go.,0.9128386378288269,306.2,306.7
 your expired,0.8286266326904297,316.4,317.5
 clear the Shelf.,0.8589798808097839,318.5,319.4
 staff sergeant,0.5107016563415527,320.7,321.6
 everything I know is in here John.,0.8900691270828247,334.7,336.1
"What typically would have been detected months if not years before surfaced in less than four hours these images giving you some idea of the rate at which these meteors are traveling scientists are Obama's scrambling to try and understand it. You know, there's something just extremely uncomfortable.",0.8716721534729004,355.2,371.4
 All about a man your size sniffing of flour. What you want is some hydrangeas popular wedding flower coming green blue. What color is the bridesmaids dresses good question.,0.7849010825157166,371.6,383.3
 You're amazing. Just take a whiff.,0.6755661368370056,384.0,385.8
" Yes, pretty girl for 300 more. She said we could have sprays of lilies and I know it's a lot but he's so beautiful. What do you think baby? Well, I think it's a no-brainer. You only get married once we gonna weigh about 300. Thank you, Deborah Alors.",0.7354598045349121,388.3,405.1
 You know what? I shared a do whatever you want. I'm gonna hit you with something really heavy. What are you doing? Busting your balls small we shot for cakes and I can't wait. I love cake. How do you found with extended family?,0.9126295447349548,407.3,428.9
 Stepping back home. That's your girlfriend. Damn. She fine my boy.,0.8722872138023376,436.9,443.7
 That's my sister.,0.9128386378288269,448.3,449.3
" Oh, and I'm just speaking objective here. You know what I'm saying? Thank you.",0.7564400434494019,452.4,458.2
 Eat it at your own risk.,0.9118755459785461,468.4,470.0
 very old,0.9128385782241821,472.4,473.4
 so do you feel that you're making progress? Yeah. Yeah. Yeah. I'm sleeping a lot better and then also around the firing range and everything when I first came back.,0.9128383994102478,476.1,488.7
" I get very jumpy and it would mess with me a little bit a little bit of a setback, but now you know.",0.9128385782241821,490.5,495.4
 Don't bother me.,0.6390940546989441,497.5,498.2
 So I think that's progress.,0.7829467058181763,499.7,501.0
 So what's the story with my status time? You going to clear me for combat axe?,0.8503945469856262,502.1,506.5
" Yeah, I feel good.",0.9033612012863159,508.3,509.4
 Let's meet again next week and we'll discuss it. Okay.,0.9128385782241821,512.5,518.1
 All right. Thank you. Thank you very much Doug.,0.6640130281448364,520.7,523.5
 Here's girl is making a dude organizers entire wedding two weeks before we deploy see the chicks busting his balls like nobody's business.,0.8250811100006104,532.5,541.0
 You got two weeks to get it done because we're out of here. So I just came by to visit you one last time before we leave and I brought the has five hiring with me.,0.8631737232208252,544.1,552.1
 know what that means,0.7695199251174927,553.4,554.3
 me and the boys going to go out tonight continue the tradition.,0.9128386378288269,556.2,559.1
" Have a good time, you know.",0.9128385186195374,560.7,561.9
" See you soon, bro.",0.725863516330719,564.9,565.8
 She's so give me my boots. I'm going skiing. That's how you do it baby. They come don't mess this up and they cannot know that your version. How do you know who says I'm a virgin we know your birds.,0.912838339805603,571.0,590.7
 You guys be killing that dog will hunt down doctor. You can play Miss. We have courses in Nigeria in American game. It was a Navy corpsman like a medic. No not like a medic medic is the Army and the Navy corpsman. It's different flows sailor. I came here to become a doctor.,0.7656856775283813,596.7,619.2
