scene,start,end,score,query,script
0,91.8,94.6,81.25,Hang on. Let me open these up.,Hang on...let me open these up....
3,209.5,234.2,70.01569858712715,"Comes down to this. We are one week away from the Ohio primary two Democrats are left standing Senator Pullman of Arkansas trailing Governor Morris of Pennsylvania, Governor. Morris has mounted a sizeable lead with 2047 delegates winning, New Hampshire, California, New York and Michigan, but Senator Pullman with 1302 delegates is still in the hunt having won, Florida and, Tennessee and Virginia.","Governor Morris has mounted a sizable lead with 2047 delegates, winning New Hampshire, California, New York and Michigan...But Senator Pullman with 1302 delegates is still in the hunt having won Florida, Tennessee, Virginia and Missouri..."
8,280.0,303.7,73.09734513274336,I am not a Christian or an atheist. I'm not Jewish or Muslim. What I believe my religion is written on a piece of paper called the Constitution meaning that I will defend until my dying breath your right to Worship in whatever God you believe in as long as it doesn't hurt others. I believe we should be judged as a country by how we take care of the people who cannot take care of themselves That's My Religion if you think I'm not religious enough don't vote for me.,"Let me be more specific. I am neither a Christian, nor an atheist, I'm not Jewish or Muslim...what I believe...my religion is written on a piece of parchment called the Constitution. Meaning I will defend, till my dying breath, your right to worship, in whatever God or lack thereof you believe in, as long as it doesn't hurt others. I believe we should be judged as a government by how we take care of those who can't take care of themselves. That's my religion. If you feel that I'm not religious enough, then don't vote for me. If you feel I'm not experienced enough or tall enough then don't vote for me. Because I'm not going to change those to get elected."
9,399.1,401.3,72.22222222222221,Be careful. I just might have to steal him from you.,Looks like you got some brains now too. Be careful. I just might have to steal him from you.
10,467.9,497.4,69.87951807228916,So you certain you're going to win here certain? No confident. Yeah just said you win by nine and I think that we will I'm not going to tell you it's a sure thing and we fuckin Saint Gabriel can blow his horn on Election Day and get his four horsemen to read the ballot boxes for Pullman and it wouldn't surprise me six presidential I've done and I've never felt this good but I'm not going to sit here and say yeah. Hey what win Ohio not a chance in the last 30 years seventy three Democrats run for president. How many 13? All right. I mean some of these guys ran to thought they had a chance and they all lost,"And I think we will, but I won't tell you it's a sure thing. Fucking Saint Gabriel can blow his horn on election day and get his four horseman to rig the ballot boxes for Pullman and it wouldn't surprise me. Don't get me wrong. Six presidentials I've done and I've never felt this good. But am I gonna sit here and say ""Yes -we will definitely win Ohio""? Not a chance. In the last thirty years seventy-three Democrats have run for president. How many have won? Three."
10,498.6,521.8,78.25112107623319,So you're saying there's a good chance. You won't win don't twist my words. I don't what I'm saying is I'm not going to promise you will win but he was decorated by Bush senior from the first Gulf War. He protested the second. He left his state with a balanced budget and the fourth highest education wraith Republicans have no one out there that can touch this guy. So for this moment this election this primary is the presidential,"Don't twist my words. What I'm saying is that I'm not going to promise we'll win. But he's decorated by Bush Senior from the first Gulf war and protested the second. He left his state with a balanced budget and the fourth highest education rate. The Republicans have nobody out there that can touch this guy...so for this moment, this election, this primary is the presidential. And that Ida, is the state of the union. And on that note, I'm gonna take a shit."
10,599.7,624.5,75.95907928388746,"Look, I don't care if he happens to be leading in the polls and I don't care if he happens to have all the right tools. The truth is he's the only one that's going to actually make a difference in people's lives. Even the people that hate him. It might Morris's president. It says more about us than it does about him. I don't give a fuck. If you can't win he has to win our what what world is going to fall apart.","I have drunk it it's delicious. I don't care whether he leads in the polls...I don't care whether he has all the tools...Because the truth is, he's the only one that's going to make a difference in peoples lives...Even the people that hate him. If Mike Morris is President it says more about us than it does about him. I don't give a fuck if he can win. He has to win."
10,627.0,649.4,78.07486631016043,It won't matter not one bit to the everyday lives of the everyday fuckers who get up and work and eat and sleep go back to work again. If your boy wins you get a job in the white house. He loses your back at a consulting firm on K Street. That's it. You used to know that before you got old Goose bumpy about this guy.,Or what? The world will fall apart? It won't matter...Not one bit to the everyday lives of everyday fuckers who work and eat and sleep and get up and go back to work again. If your boy wins...You get a job in the white house...If he loses you're back at a consulting firm on K Street...That's it. You used to know that before you got all goosebumpy about this guy. Morris is a politician...He's a nice guy...They're all nice guys.
11,716.0,717.2,75.75757575757575,"Nope, that's all you get for now.",Nope. That's all you get for now.
13,811.5,818.6,74.31693989071037,"Hey, Ben, wanted me to get you to sign off on this for the staff meeting. Okay? Thank you every waiting for this.",Ben wanted me to get you to sign off on this before the staff meeting.
13,877.1,878.8,67.34693877551021,I worked with you in Iowa actually.,Oh no...I'm not from here...I worked with you in Iowa actually.
13,885.9,889.4,74.50980392156863,My hair change your hair. No.,You changed your hair.
13,931.0,932.1,97.95918367346938,"Well, you have my number.",Well you have my number.
16,1221.6,1226.4,84.70588235294117,I won't be anybody there. Okay get a chance. There's something I want to show you.,There won't be anybody there...if you get a chance there's something I want to show you.
18,1297.0,1308.4,77.68595041322314,People are scared because they don't understand how you do it and they love you for it. And that is the most valuable thing in this business. The ability to win people's Respect by making them mistake Their Fear for love.,"People are scared of you because they don't understand how you do it, and they love you for it. There's nothing more valuable in this business - the ability to win people's respect by making them mistake their fear for love. You can guess what I'm gonna say next."
18,1442.3,1446.2,67.66169154228857,Pause my friend. You want to work for the friend or do you want to work for the president?,Do you want to work for a friend or do you want to work for the President? Think about it...you have my number.
19,1533.1,1534.9,79.54545454545455,Get a copy of the show before we leave too.,And get a copy of the show before we leave...
21,1601.2,1604.3,76.76767676767678,You guys need a lot more help over there. Yeah.,I know...you guys needed a lot more help over there.
21,1623.4,1628.2,79.54545454545455,"He's a good guy. He's an asshole, but he's your boss.",He's an asshole but he's your boss.
21,1655.5,1658.0,71.42857142857143,What time you got work tomorrow 9 a.m.,What time do you start tomorrow?
21,1659.9,1666.1,71.91011235955057,I'm showing the new interns at a robocall because I'm an experienced intern you see.,Nine AM...I'm showing the new interns how to robo call...you see...I'm the experienced intern.
21,1742.6,1744.6,69.44444444444444,I have a case of the campaign bus.,I have the keys to the campaign bus...
23,1859.4,1861.3,93.06930693069306,Really wouldn't look good if he screwed an intern.,Really wouldn't look good if you screwed an intern.
23,1873.8,1877.6,75.63025210084034,I just don't you think I'm a player you are kind of a player but,I just don't want you to think I'm some kind of player.
23,1913.2,1915.7,70.37037037037037,You have absolutely no idea that I thought not a clue.,You have absolutely no idea how to tie a tie do you...
25,1981.5,1986.0,74.28571428571429,We have to do it and it's the right thing to do and nothing bad happens when you doing the right thing.,We'll be fine...we have to do it...and it's the right thing. Nothing bad happens when it's the right thing.
25,2011.3,2015.7,76.19047619047619,Steven you're not Paul. I pay Paul to use the word great. I pay you to tell me the truth.,"Listen Stephen...you're not Paul. I pay him to use the word ""great"". I pay you to tell me the truth."
25,2017.4,2018.8,73.91304347826086,I think that we are solid.,I think we're solid.
27,2134.3,2141.5,74.73309608540926,What you want to play nanny called me and he asked if we could meet I said why he said it was very important. So I did.,You were on a plane and he called me and he asked if we could meet...And I said why...he said it was very important so I did...but I should've fucking told you...
28,2167.2,2183.6,83.09178743961353,They offered Thompson Secretary of State. You know how you fight the war on terror. You don't need their product anymore. Their product is oil just don't need it and they go away anyone we don't have to invade anyone.,"You know how you fight the war on terror?...Don't need their product anymore. Their product is oil, just don't need it and they go away. We don't have to bomb anyone we don't have to invade anyone!"
29,2186.6,2197.3,72.42798353909465,This is some kind of fucking practical. I be my fucking blood pressures going through the goddamn roof right now Paul. I'm sorry. Leave me.,If this is some sort of practical-I mean -my fucking blood pressure is going through the roof right now.
30,2225.2,2254.8,75.56221889055472,"If I'm your president, the first thing I put into motion is 10 years from the day. I take office. No new car in America is run on an internal combustion engine hundreds of thousands of new jobs. We will start the next technological Revolution and we will lead the world again. You get the governor right after he finishes singing Kumbaya we gave him everything.","If I'm your president, the first thing I put in motion, ten years from the day I'm in office...no new car in America runs on an internal combustion engine. It'll create hundreds of thousands of new jobs...we will start the next technological revolution and we will lead the world again...like we used to..."
36,2468.5,2475.8,74.43946188340806,I was hit up by Mitchell's wife for you to show up at her Daughters of the American Revolution. Luncheon is Mitchell.,"I got hit up by Mitchell's wife for you to show up at her ""Daughters of the American Revolution"" luncheon."
36,2477.3,2483.8,86.07594936708861,Congressman from the first district. You might want to remember that fucking congressman.,Congressman from the first district. You might want to remember that.
36,2484.9,2488.0,72.88135593220339,"You imagine doing this every two years? No, I can't.",Fucking Congressmen. Could you imagine doing this every two years?
36,2500.6,2502.0,78.57142857142857,"Do you think we'll lose, Ohio?",You think we'll lose Ohio?
36,2507.3,2512.5,91.2751677852349,If you took Thompson's delegates the race would be over Ohio wouldn't matter.,If you took Thompson's delegates the race is over. Ohio wouldn't matter.
36,2565.8,2568.0,77.55102040816327,tell mrs. Mitchell. I'll make her goddamn lunch.,Tell Mrs. Mitchell I'll make her goddamn luncheon.
36,2574.1,2576.8,77.77777777777779,"You've got great hair too, baby.",You've got great hair.
42,2814.9,2816.7,76.92307692307692,Why is the governor calling you at all?,Why is the Governor calling you at all?
42,2839.6,2846.1,67.28971962616824,There was a party in Ben's room after the rally in Des Moines. There's a party with you and Ben and the governor.,I was working on the campaign in Iowa...we had a party in Ben's room after the rally in Des Moines...
42,2847.3,2849.5,71.69811320754718,"No, he wasn't there. Where was he?",No he wasn't there.
42,2852.7,2855.1,98.0,I took him up a hard copy of the polling numbers.,I took him up a hard copy of the polling numbers...
42,2945.9,2946.9,100.0,So what should I do?,So what should I do?
45,3041.9,3043.4,100.0,What's our limit on petty cash?,What's our limit on petty cash?
56,3619.9,3623.6,78.83211678832117,But I thought he would still want to take Thompson's endorsement.,Better than I thought he would. Still won't take Thompson's endorsement.
56,3659.4,3660.5,80.70175438596492,So it's going to the papers.,So it's gonna hit the papers.
56,3694.0,3696.4,67.9245283018868,I don't understand we made a deal.,I don't understand.
