transcript,confidence,start,end
I'm not a Christian. I'm not an atheist. I'm not Jewish. I'm not Muslim.,0.9128386378288269,26.6,32.3
 My Religion what I believe in,0.9128385186195374,33.3,36.0
 It's called the Constitution of the United States. I'm not old remind me. It's night before bed to open up my heart to God where he was kind merciful and just things changed. My father left a few years later leaving her to raise me and my brothers a little place in the edge of the Mojave Desert.,0.7812342047691345,37.3,54.3
 She never talked of a kind and merciful god again.,0.8725403547286987,55.7,58.0
 Instead. She's a prophecy of a time when all the world will be covered in darkness. And the fate of mankind would be decided.,0.8513880372047424,60.0,67.3
 One night. I finally got the courage to ask my mom to changed why he was so mad at his children.,0.8598750829696655,68.8,74.2
 I don't know. She said taking the covers around me.,0.7906609177589417,76.3,79.7
 I guess you just got tired of all the bullshit.,0.803960919380188,81.5,83.4
" From the Ohio primary to Democrats are left standing Senator Pullman of Arkansas trailing Governor Morris of Pennsylvania, Governor. Morris has mounted a",0.8209686279296875,180.6,189.2
" It's a bully with 2047 delegates winning, New Hampshire, California, New York and Michigan but Senator Pullman with 1302 delegates. So goes the nation.",0.7605109810829163,189.5,219.1
 And I have no idea what that is.,0.7345824241638184,235.9,238.2
 I believe we should be judged as a country by how we take care of the people who cannot take care of themselves That's My Religion. If you think I'm not religious enough don't vote for me. If you think I'm not experienced enough and don't vote for me because I can't change. My life is like a match to this.,0.8996117115020752,264.0,279.4
 Oh boy part general election. Well Governor first start sleeves that these questions won't be Central in a general election than you are living in a fantasy. I'm simply obvious. We are running for president.,0.7501938343048096,284.4,298.2
 Got the bed put your hands on your head.,0.7381728291511536,318.6,320.2
 It's too much time looking at just shut the fuck on parts of the bags now Peru turn the fuck around remember if the Democrats have ever nominated an atheist.,0.8342596888542175,326.8,349.9
" Well, we know there's nobody to Jack Astor's north of the brain stuff.",0.8586081266403198,351.1,360.6
 What a prick. What are you doing my God?,0.8682914972305298,373.8,377.8
 Least one shoulders. What are you saying?,0.860334575176239,379.3,381.9
" No, I'm following my own orders. Now, then you will die along with the child burn. You fucking know this guy. What the hell?",0.8330777287483215,383.6,392.0
He's trying to get under my skin. So it's going to 9.,0.8502439856529236,430.6,434.3
" So you certain you're going to win here certain? No confident. Yeah just said I think that we will I'm not going to tell you it's a sure thing every fucking Saint Gabriel blows his horn on Election Day and get his four horsemen to read the ballot boxes for Pullman and it wouldn't surprise me six presidential I've done and I've never felt this good but I'm not going to sit here and say yeah, hey will win Ohio not a chance unless 30 years seventy three Democrats have run for president how many 13 I mean somebody guys ran with thought they had a chance and they all lost",0.7928067445755005,436.5,466.0
 So you're saying there's a good chance you won't win don't twist my words. I don't want him saying I'm not going to promise you will win but he was decorated by Bush senior from the first Gulf War. He protested the second. He left his state with a balanced budget and the fourth highest education rates Republicans have no one out there that can touch this guy. So for this moment this election this primary is the presidential,0.8391161561012268,467.1,490.4
 and that item is the state of the union.,0.8704554438591003,492.0,494.1
" The bedroom on that note. I'm going to take a shit. It's just stress G. So Steven, so either this place with you, where's that? Okay.",0.8176268935203552,495.7,515.8
" I give you three guests. Yeah, the only thing I like to worry about me. He's not going to Texas no need to wash what if I worried about a gorilla Carolina ring and he's going to North Carolina. I knew it. I cannot do that love me. Love Paul. You you love you know, how much I wish you engaged if it meant a good Scoop my fiancée.",0.8625783920288086,517.2,546.7
 Just and about a month from now. You may lose all this crap all this take back the country not just about what the hell I'm gonna die their life. I'm not naive. Okay work the more campaigns and those people at the time they're 40. I'm telling you. This is the one I'm not ready to be helped you with the cooling. I have June. It's delicious Christ. I can barely take care of myself as it is. I don't care if he happens to be leading in the polls and I don't care if he had I can hit all the right tools. The truth is he's the only one,0.7664598226547241,546.9,576.2
 Going to actually make a difference in people's lives. Even the people that hate him if Mike Morse is President. It says more about us than it does about him. I don't give a fuck if he can't win you gotta stop caring or what. It's going to fall apart.,0.7726348042488098,576.8,593.0
 It won't matter not one bit to the everyday lives of the everyday fuckers who get up and work and eat sleep go back to work again. If your boy wins you get a job in the white house. He loses your back at a consulting firm on K Street. That's it. You used to know that before you got on goose-bumpy about this guy second class. Mike Morris is a politician. He's a nice guy. I like it.,0.8652376532554626,595.5,623.7
" Wang helps Lord is my witness Bob one of these days that thing's gonna hit you back. What are you talking about? You got a special relationship here Franklin County. Yeah, they had names with that kind of relationship in order to go.",0.8238414525985718,625.8,654.5
 understand,0.5293524265289307,654.7,655.1
 Huge is 356 pledged delegates disgusting. We all travel with them because that's what they all say. So this for real it's about in the bag Audrey. Nice. Your mother was wondering if you got dressed this morning with the specific intention of showing her ass off in the entire world. These you new cell phones. Shall we,0.8911867737770081,665.3,692.6
 TT all Kevin had truckers some bath and he will come to your ass yourself.,0.8043331503868103,694.5,700.5
 We have to understand why sense by with a lot or something.,0.8332409262657166,705.0,712.2
 Give me a pen and a pad.,0.8083187937736511,716.0,717.1
" Only having investments in dynamite and I believe it is true great find out but if not, let them spend the day telling the post that he doesn't own the diner - Merry Christmas win-win what's so merry about it.",0.7127130031585693,742.7,762.3
 We got a counter this Christian she'll take it from last night. I need to know something about quittin.,0.657615065574646,763.4,770.7
" Before you quit, could I get one from you?",0.8994981050491333,774.7,777.2
" By whole pack inside. Hey, why don't you give you to finish packing in the show me? Okay. Thank you. I'm waiting for this.",0.8670145869255066,778.6,787.2
" Anything interesting, this is some white paper. I know what up girl lost.",0.8845204710960388,792.1,797.6
 - shit and my right here are awful guys do research to the press and we see what sex what kind of any phones around here to actually work which paper towel pilot use the diner phone if you ask him. So it's something big a pain. It was something big expectation. I personally like the pancake.,0.778580367565155,799.1,828.7
" That's your new phone you okay Charlie? It's really excited. Yeah, I'm fine. This guy's just lost their cat.",0.776337742805481,828.9,836.2
 Now what Cincinnati Bearcats? Oh was that I'm not from here.,0.7119238376617432,837.7,843.9
 I worked with you in Iowa. Actually you drive. What what what do you want me to do? My hair is already too goddamn hours ago.,0.8870077729225159,845.7,857.0
 You're the Big Man on Campus. I'm just a lowly intern you get to stay at the Millennium. They put us in a motel on the other side of the river. You're right. I am a big man because I've got left Charlie where you been better bar though. It's not a resort for stacking up all night. The best time be smoking again throwing your condition might do that right now. That's good.,0.8582663536071777,866.2,891.3
" Really get any worse Tuesday night. Yeah, besides you want to talk good what had quit two years ago. Well, you have my number. Yeah, so I still carry that fancy light around for them. It's perfect for my ex-wife sent a minute. Well remember how much I hate our guts. Hey, man, you got a phone I can use my cell phone. I got no reception according Far Side of bust. Excuse me. Is there any news about when our car might be fixed? You said your boy would have us back on the road two hours ago.",0.9128192663192749,891.8,921.6
 Though I gotta say the rate. We're going to be lucky to make it disgusted by Christmas.,0.7071978449821472,921.8,925.7
" That's what I'm hearing since super Tuesday on the send them of the hair popular guys. Hey, will you post telling you it's up on this Beamer Coppola mean you think is yeah what the hell you were doing your job not the Republicans have dick. They're disorganized. I can't find an eye on the Gunther bunch of stuff. We're all pushing this fuck up.",0.7953662872314453,927.9,951.6
 You know how you don't throw anything away. So no Republicans going to show up to vote for their guy.,0.7337764501571655,952.5,957.4
" The Democratic nod they will show up to vote against him and you think they look to your journey. I sure do Senator. I'm because he's real nice you giving her a helping hand leave everything behind your she's not your responsibility. Hey, we need you don't you walk away from me when I'm talking to you and I guess on you gonna follow her around like a little puppy dog looking for height nderstand going to clean up her mouth while she's obsessed with every other guy, but you don't say that about her Would we not like that?",0.817023754119873,959.8,988.4
